Phase,Phi1,Phi,Phi2
1,86.74096043,123.2929276,12.78114532
1,74.60257522,126.5833863,42.91939127
1,73.52174718,126.2278995,42.89872252
1,73.30701939,125.7344674,43.15431043
1,74.25743137,126.4026883,43.20766239
1,74.04884545,125.9898341,42.74857662
1,73.97096085,126.4872232,43.30211931
1,72.9055551,125.6365375,41.79689166
1,73.37436358,125.6337921,42.67424684
1,73.20900474,125.8918779,42.21152158
1,72.99395372,124.6996883,41.92441683
1,73.13991509,126.315389,43.27015905
1,73.29454439,126.4482584,43.50795228
1,90.11181673,89.72322482,19.48617304
1,91.23561407,88.97302553,18.52417419
1,90.76322792,88.3782761,18.71265982
1,103.8847805,69.01729013,1.297778256
1,104.8464861,69.33643243,1.010030426
1,105.5668653,69.543947,1.020107835
1,106.4072762,68.93255651,0.980569683
1,106.6830589,68.68081481,1.110452042
1,107.3854341,68.61955058,1.165207814
1,108.0478288,69.02982293,1.136201077
1,108.374155,69.3122493,1.614513451
1,108.2839889,69.00686887,1.703588604
1,108.344132,69.41761442,1.252214462
1,107.3791779,69.84239444,1.872761019
1,108.3550073,69.03290721,1.443704772
1,108.2439348,68.42800149,1.481912535
1,108.8232615,68.84077038,0.776105729
1,107.4936475,68.68584767,0.706087828
1,85.38959286,160.1886508,38.45616433
1,87.28407636,160.7206261,40.65652125
1,86.5631306,161.0930824,41.32586566
1,86.65803277,160.6845732,41.63977309
1,120.120498,151.1020943,63.62233357
1,118.7320411,150.8904145,62.6809906
1,116.2102976,150.6608803,61.0971439
1,116.2011306,151.9397056,62.1185769
1,116.4334336,151.4230744,61.29323448
1,116.0240942,150.9635603,60.88654694
1,85.47059054,47.08586448,8.878101752
1,86.95332204,47.26217761,8.155959549
1,87.24718477,47.25262178,8.959900794
1,87.54354854,47.21588292,9.09449288
1,88.7292752,47.38908532,8.408690894
1,88.43081401,47.30130877,8.7283947
1,87.95066988,47.19740536,8.665302557
1,87.37944074,47.1445606,8.62694893
1,87.15569519,47.17861602,8.439263494
1,86.64378682,47.07125066,8.199394434
1,88.67680809,143.4261138,7.058466242
1,88.78945319,143.058305,7.242526435
1,89.34511576,142.9043118,6.614276827
1,88.8753997,142.8074361,6.22482768
1,91.10311842,143.2267766,7.24479776
1,90.24914845,143.2587583,7.233350995
1,89.28499962,143.4871908,6.309544913
1,89.82914972,143.4980851,6.741797647
1,89.70310952,143.7804186,6.793879392
1,90.59590586,142.9566822,7.189316422
1,90.49376856,143.2799987,7.321722932
1,89.63584018,143.0506092,7.390615319
1,88.42439206,143.3533471,7.276944826
1,88.30386269,143.3516352,6.887190988
1,88.91704606,143.3338093,7.048769067
1,88.25587333,143.3588439,5.89105185
1,89.89433515,143.4611368,7.01521647
1,89.61729353,143.243159,6.792138134
1,89.23841201,143.2929352,6.425742768
1,90.13758971,143.6700604,6.556388063
1,90.72384928,142.7581663,7.079119354
1,91.77551398,98.71239755,10.13027766
1,90.72867502,98.35528201,9.643111455
