Phase,Phi1,Phi,Phi2
1,89.76925992,123.0587843,13.09268274
1,73.62704142,125.7830114,41.98688415
1,71.8964922,125.2996867,41.7208103
1,71.02759198,124.6097846,42.09030617
1,72.72627378,125.6834293,42.22535991
1,72.95592786,125.2992807,41.96225912
1,73.06407338,126.0076893,42.62456275
1,71.61126232,124.9818999,41.00610556
1,71.53517208,124.9987374,41.84419528
1,70.97907653,125.0804962,41.5050547
1,70.58759837,124.091966,41.2044197
1,70.51740593,125.7087453,42.76255023
1,70.47106404,125.6100997,43.24852154
1,88.08245374,91.09190985,19.97235966
1,90.29589442,89.75030916,18.24181035
1,89.80156747,88.35013044,18.38388254
1,103.367826,68.22492461,0.981746776
1,105.5772193,68.78691863,0.821241297
1,106.9083882,68.81274775,0.991620219
1,109.0102379,68.11801169,1.461238013
1,109.5225446,67.56445209,1.868152819
1,111.0664941,67.54593047,1.9802961
1,111.6764897,68.20531911,1.721867503
1,111.9912794,68.75190157,2.154998929
1,111.9715467,68.56922577,2.566331772
1,112.2246757,68.85008014,2.125166625
1,110.4791205,69.87843208,2.776753381
1,111.1752178,68.4854466,2.119801161
1,111.0072179,67.56058142,2.169469715
1,111.3478941,67.94996434,0.806186632
1,109.7293,67.63544402,0.466564076
1,84.57838405,160.5024879,37.63763809
1,88.57563788,161.4510572,42.15556716
1,86.56433597,161.748245,42.81889281
1,87.0873208,162.3752659,43.49593695
1,127.4698869,149.7032958,70.22004115
1,124.1391195,149.7117156,68.42224641
1,120.7427944,149.7689115,66.5219161
1,119.6245309,151.6119682,67.07225593
1,118.2012988,151.1075719,64.33233069
1,118.2611247,150.3422124,64.14272028
1,81.47768893,47.62284806,9.803397743
1,82.6536672,47.92889187,9.152100174
1,83.73429258,47.95096189,9.968355135
1,84.85484894,47.99091026,10.13127572
1,86.77238161,48.15686207,9.34487612
1,86.62407292,47.92569867,9.652999711
1,85.76184985,47.83864691,9.620176362
1,84.47246635,47.7435362,9.553782067
1,84.09897561,47.70234815,9.283216679
1,82.89839662,47.50643385,9.048937776
1,90.3458442,142.6574949,8.339997093
1,90.61043762,142.2910872,8.496634154
1,92.36107216,142.1015542,7.879551893
1,91.69320497,142.0540565,7.423711242
1,94.35489651,142.6107458,8.389441719
1,93.20433495,142.7157554,8.462017854
1,92.05483172,143.0513369,7.550961491
1,92.11395755,143.1615748,7.949425636
1,92.50444751,143.2953372,8.052662148
1,94.00403445,142.4112126,8.310639489
1,94.112646,142.5977664,8.561634476
1,92.01686059,142.228887,8.696991831
1,88.58773197,142.7298073,8.187869472
1,87.46852788,143.126038,7.584612529
1,88.51636614,143.2115433,7.762309386
1,88.20983753,143.2953654,6.605620306
1,90.65420133,143.4003154,7.899367129
1,91.16268182,143.1490122,7.613238868
1,92.2838847,143.0832944,7.440446731
1,93.66351863,143.2862869,7.390730719
1,94.55794858,141.7798908,8.602601821
1,94.31455827,95.05430788,11.89582566
1,92.80870055,95.64251122,10.71940258
1,92.37690603,95.28520814,10.85917164
1,92.2107964,99.14733995,11.50206342
1,91.74604355,101.8584696,11.77843669
1,93.68846403,99.43065633,10.95071241
1,92.53053186,98.24197765,8.400399872
1,89.63640146,95.3621341,7.744245123
1,91.11869126,97.76692952,8.24792892
1,89.24105537,94.88706095,7.588719527
1,90.41130321,97.92473421,7.245740168
1,86.50037919,94.53081346,6.833860426
1,9.758453293,36.56595342,45.90779883
1,118.9462976,41.49916918,30.51020572
1,118.3264618,37.62859272,29.08811332
1,117.8506709,38.38888793,29.98339169
1,117.7013128,39.49616595,30.20389966
1,116.4855288,38.07088382,30.1774255
1,116.3456431,38.61107747,31.09876492
1,116.2737615,42.45715697,32.89501598
1,114.7702879,41.25565592,35.33417698
1,114.4559471,42.06762413,34.05152813
1,113.049679,41.45917698,34.06200461
1,112.3740679,40.43390834,33.99183381
1,111.3804353,41.24891067,35.23617141
1,111.5899575,42.47086818,35.4859649
1,29.88532697,159.4658964,2.168877167
1,30.96070842,160.2463818,2.113418204
1,31.14017735,160.2992196,2.637236627
1,32.71355037,160.2655869,3.622479124
1,35.53609149,159.5599461,6.351777539
1,33.6975931,159.4303455,4.921726803
1,32.69274826,159.3713691,4.097318673
1,35.01201942,158.8410321,5.956103478
1,34.67149006,159.6097509,5.698720464
1,104.6577653,92.6004313,40.91512256
1,105.6978473,93.51151455,41.11300981
1,106.0557334,93.24318834,41.05742225
1,106.6080892,93.89180641,40.60053204
1,107.0819771,92.87181024,40.58049194
1,107.4683041,93.13667151,40.92425229
1,107.1381324,92.94042681,40.72192823
1,107.3458622,93.04273608,40.18683821
1,107.7999395,92.52229098,40.22773139
1,108.8566308,92.66366586,40.05988553
1,108.9759208,92.27564462,40.09975289
1,108.8760959,92.20507517,39.95892143
1,108.532682,91.65256307,39.37539768
1,108.7905133,91.93494294,39.96307316
1,107.7517914,91.9320511,39.7113866
1,89.35025817,122.7954505,13.50515793
1,88.60220533,122.1891833,12.47894199
1,73.59821738,125.3119475,41.12585639
1,72.78790653,125.7110474,41.52453845
1,71.61332503,125.1430179,41.69078428
1,72.22735917,125.4925284,42.57482087
1,72.66168324,126.4313612,42.1665293
1,72.69334299,125.9523417,42.35239038
1,72.65625806,126.0448026,41.70569921
1,72.40679881,126.2818379,42.11903235
1,73.08731269,125.940221,41.30356505
1,71.66517448,125.8981198,42.67788083
1,70.97511845,125.1100411,40.18452001
1,73.70738877,125.4061394,41.52636618
1,103.487581,69.48554858,0.470981426
1,105.5478419,67.13138311,0.948388856
1,106.6261863,66.67334514,1.682372484
1,107.8736503,66.92560471,1.312146653
1,109.6403405,67.42179424,1.962852137
1,109.4699043,67.5132613,1.027559113
1,109.3290384,67.54076566,1.194179332
1,108.6755896,67.55820836,1.089567419
1,110.821392,68.72390644,1.327851713
1,110.1038483,69.03188087,0.792734591
1,110.0587404,69.66954126,0.560329932
1,109.7564698,69.35756186,0.723774408
1,111.6395949,69.36924673,1.845329512
1,110.1414485,68.66766827,2.077028997
1,109.6181656,68.93347475,1.495265902
1,108.8960364,68.38429532,0.269135714
1,88.84141773,160.7537037,42.16889634
1,87.76119392,161.8875268,42.4313936
1,88.54191469,161.8511487,43.24081307
1,87.04678677,161.4938302,41.78597241
1,125.3087331,151.3540173,68.02381802
1,123.0842324,151.553369,66.65968153
1,120.4689533,151.1690818,65.26135142
1,119.9615191,151.5433662,65.7332192
1,118.3410633,151.0909654,65.62808447
1,119.1659085,150.2003589,65.2030619
1,119.9099346,150.0698227,63.76222248
1,83.17412299,47.85832777,9.903603006
1,81.86243541,47.87297977,9.902653382
1,81.48747035,48.1012388,10.20463997
