Phase,Phi1,Phi,Phi2
1,101.5024764,122.7310361,13.12420657
1,72.14884788,122.1586797,38.62023792
1,68.81757829,121.1704619,37.98604552
1,67.87958224,120.9141951,38.34924289
1,70.45874258,122.9817385,39.17513534
1,71.93574511,122.6547678,39.29861753
1,73.45983013,124.2217025,40.45202327
1,72.49664213,123.3317468,38.58845761
1,70.72984386,123.5635273,39.14929344
1,69.49149961,123.6753213,39.26827548
1,67.83215085,122.9911294,39.20167963
1,67.0233368,124.5275705,40.54453414
1,66.63745126,124.1727488,42.63672277
1,86.55048896,92.92601876,19.15407278
1,91.51868725,91.58723833,16.20944358
1,88.66632537,86.76017439,16.4482241
1,104.0108072,64.7404404,359.6524735
1,109.3157291,66.73283268,359.4545178
1,111.6300815,67.03549501,0.149353625
1,117.1242249,68.16261778,1.050127975
1,117.1756517,67.38497366,1.640861612
1,119.4193666,67.02508235,1.987776877
1,120.4988882,69.08364434,2.001504825
1,118.816811,69.24993032,2.121380233
1,117.3952468,69.10839639,2.943240177
1,119.1093805,68.79660909,2.673135137
1,117.4579385,70.39149444,3.147575395
1,117.6899957,69.06702413,1.039716069
1,115.2865955,66.58748177,1.087254349
1,116.6798044,68.56218413,358.1464002
1,113.7368146,67.08370108,357.1647698
1,80.4763096,160.1668116,33.77336883
1,94.18074919,165.4759919,47.40961231
1,82.78134758,161.6003073,44.74431014
1,88.99892518,167.1028424,47.7506329
1,141.637721,141.9609705,82.8056179
1,135.3248633,143.1611992,80.58664991
1,132.1598252,144.8441808,79.24690683
1,130.3857019,148.2703348,79.77616448
1,125.7059612,149.8084843,74.37592685
1,124.2154495,148.1364841,73.38763757
1,73.81587958,47.92578384,12.28073962
1,72.26148474,48.86989438,11.76793506
1,71.69617194,49.33371306,12.54408379
1,72.18714205,49.54029519,12.7134965
1,76.70356785,50.01119498,11.50378767
1,78.46115497,49.48702003,11.8439679
1,79.74382877,49.09457055,11.75259045
1,75.73472304,48.50804156,11.80680127
1,73.21195421,47.69531903,11.71687284
1,70.93594378,47.44324632,11.47556401
1,93.15370008,140.5203799,11.39339189
1,94.76191051,139.968622,11.7701029
1,101.5001326,139.6759279,11.5618858
1,101.9946357,139.4727347,11.47477457
1,103.3589668,140.892597,11.56044527
1,99.79170525,141.2916796,11.40979536
1,96.34495466,141.3234926,10.55565658
1,95.96151899,141.7412206,11.11644323
1,100.364017,141.558751,11.09652134
1,102.6175542,140.5525498,11.62599528
1,100.425431,140.8600507,11.34869815
1,97.79255805,140.3882606,11.93098011
1,94.3684499,139.9449159,12.37169228
1,87.38213165,140.8936123,10.52697138
1,84.41498852,141.8846262,9.074966539
1,82.76114731,142.6409819,7.327301722
1,86.4004238,143.1784914,8.421937722
1,90.04843569,143.0741158,8.674590984
1,94.56441781,143.0366638,9.230985122
1,98.09430718,142.6251149,9.367472285
1,100.1842663,139.6500433,11.80502616
1,96.02702024,88.06466348,13.67203586
1,94.72252429,90.29439294,10.93103726
1,93.91480724,90.9823857,11.29927672
1,93.41923518,97.62627016,14.41537389
1,91.72041862,104.4443683,15.37886453
1,96.27385298,98.27945561,12.31985625
1,94.90838019,95.90262654,7.63506041
1,91.00361048,90.73743396,6.959327145
1,92.30753351,92.81363492,8.44974658
1,89.70770132,87.98998244,7.550497619
1,88.71777866,94.63124477,6.070010672
1,84.19034338,89.2330644,6.603938112
1,6.027582473,38.30151316,49.78843263
1,124.4671985,38.08143427,27.02512968
1,128.5163134,35.60884295,23.26884637
1,128.388411,36.62827196,23.24946943
1,129.0389336,38.69312979,22.1992785
1,127.8369822,36.97698365,22.41552639
1,128.5327536,37.83747906,22.59068332
1,125.629956,46.08508819,29.07099269
