Phase,Phi1,Phi,Phi2
1,92.4679732,122.9013613,13.25602493
1,73.25950554,125.0731587,41.17817006
1,71.20445101,124.4919947,40.82398243
1,69.97552372,123.8433016,41.10216512
1,71.92059319,125.1164775,41.47658654
1,72.64340643,124.8224586,41.32118928
1,73.14840092,125.7605873,42.07756517
1,71.61913201,124.7117179,40.32160287
1,71.14174331,124.7660491,41.22316025
1,70.06777813,124.7107369,41.00449539
1,69.35187855,123.8412038,40.78528249
1,68.90222468,125.3475097,42.40585506
1,68.62660732,125.0821169,43.07393499
1,86.99491243,91.79471549,19.82897625
1,89.79935244,89.90702386,17.82595598
1,89.29600888,88.05428541,17.87320209
1,103.0940504,67.27758331,0.607038737
1,106.3837785,68.14098506,0.543291485
1,108.2119265,68.17821133,0.856255866
1,111.1595542,67.52609676,1.665140931
1,111.8803256,67.00236324,2.20375674
1,113.9670039,66.98889227,2.33657417
1,114.5144438,68.11879543,1.803931583
1,114.3610822,68.59500249,2.237343783
1,114.1758212,68.45504263,3.011324055
1,114.7662394,68.49798829,2.595053227
1,112.9549841,69.89382222,3.07673158
1,113.1883487,68.24444062,2.071216739
1,112.6556701,67.16604291,2.164774901
1,112.8695384,67.73897664,0.410568766
1,110.9444394,67.06401921,359.9677124
1,83.32040328,160.6307757,36.56834895
1,89.83776956,162.35416,43.44224856
1,86.2018163,162.0421987,43.70710295
1,87.25113491,163.6072608,44.48574511
1,132.5424624,147.9152218,74.78092135
1,127.9959761,148.3029318,72.50642117
1,124.2046161,148.8344383,70.39043053
1,122.5496568,151.0771885,70.79678399
1,119.9287941,150.8591427,66.99968494
1,120.261623,149.8476207,67.1212708
1,78.75276865,47.88312046,10.49366082
1,79.15673919,48.38554538,9.892393837
1,80.54218647,48.4513794,10.6788855
1,82.22213124,48.51604123,10.85619808
1,85.27228095,48.77623803,9.954960298
1,85.21093711,48.37003222,10.29018005
1,84.16189799,48.27619555,10.28087291
1,81.97464933,48.13457195,10.20404015
1,81.70749011,48.02588323,9.885815235
1,79.87203391,47.71269259,9.668080726
1,91.09804213,142.0704569,9.205828059
1,91.66043164,141.6835543,9.362282204
1,94.90343793,141.4327313,8.894237395
1,94.28963952,141.3467848,8.540990354
1,96.82708856,142.1177153,9.287446217
1,95.04654218,142.2971018,9.333043688
1,93.35683589,142.6480946,8.415246862
1,93.13353747,142.8960969,8.7799663
1,94.45783796,142.8816552,8.898640961
1,96.44185346,141.9788572,9.170598528
1,96.62727386,142.0633397,9.42382886
1,94.01430937,141.6138513,9.712859207
1,89.41879895,142.0558852,9.14266255
1,86.48602055,142.7845453,8.049772861
1,87.31306485,143.0544961,8.094514637
1,87.113517,143.2600006,6.954779542
1,90.24409514,143.4387346,8.389201126
1,91.41064834,143.1492892,8.087288345
1,93.88201341,143.0382346,8.156623553
1,95.84574167,143.0356284,8.045223829
1,96.92002323,141.0013344,9.70012654
1,95.5178814,92.43696427,12.85039032
1,93.83883496,93.73390334,11.12026863
1,92.67905939,93.72150223,11.0032877
1,92.24021156,98.95433631,12.40879683
1,91.71928638,102.7069125,12.97928253
1,94.84521292,99.14273538,11.49451412
1,93.45928207,97.56055911,8.153217499
1,89.79804776,93.83972702,7.471912191
1,91.34459691,96.44290424,8.308524215
1,89.87931314,92.73952465,7.866824399
1,90.22673908,96.72690057,6.905074623
1,85.73133763,92.9312727,6.559773526
1,8.995584437,36.15724746,46.48343732
1,121.3922659,41.06244049,28.90215046
1,122.3314791,37.38704793,26.64903851
1,121.21747,37.90856141,27.75916513
1,120.8832345,39.33821502,27.48913299
1,119.7679448,37.86303,27.48618702
1,120.3174525,38.45638846,28.20396844
1,119.0868602,43.35154371,31.56090755
