Phase,Phi1,Phi,Phi2
1,87.42611012,123.2301352,12.86847311
1,74.30951804,126.3957361,42.69356644
1,73.06556712,126.0075355,42.60882448
1,72.66513078,125.4532077,42.9088716
1,73.84425399,126.2280613,42.96378969
1,73.70415628,125.8034257,42.54970073
1,73.62541695,126.3386882,43.12839564
1,72.43553498,125.4287276,41.60272069
1,72.78885293,125.4236186,42.45376247
1,72.54510996,125.6301056,42.01026227
1,72.32334539,124.5005144,41.72138315
1,72.44674545,126.1442529,43.12732634
1,72.56890364,126.233554,43.44093729
1,89.53531664,90.12111698,19.69591285
1,90.95747513,89.23854747,18.49703244
1,90.4578308,88.38656423,18.65866583
1,103.7595418,68.8926437,1.242597093
1,104.9731467,69.24054254,0.982282482
1,105.8605872,69.38365469,1.040104442
1,107.0242892,68.74274181,1.108926221
1,107.3328316,68.40506048,1.295036622
1,108.2480204,68.35032273,1.371351433
1,108.9058754,68.77258601,1.308675459
1,109.2833477,69.12840055,1.814260892
1,109.23966,68.83060707,1.966454366
1,109.3210597,69.27918236,1.470815261
1,108.0833627,69.8523293,2.128960985
1,109.0495166,68.8876031,1.678523796
1,108.9839939,68.18025576,1.722860399
1,109.5520648,68.57785094,0.839744867
1,108.1575895,68.39000172,0.702321153
1,85.21079968,160.2721953,38.25445883
1,87.59753315,160.8656974,41.01739892
1,86.60091978,161.2888921,41.7244943
1,86.82424401,161.0959502,42.17881985
1,121.9923104,150.8682072,65.27880354
1,120.0991894,150.6704417,64.11094536
1,117.2547436,150.4513454,62.37509485
1,116.9736074,151.8944741,63.31193227
1,116.8726226,151.3310331,62.03791399
1,116.5640045,150.841403,61.66290272
1,84.50159718,47.22760103,9.107609956
1,85.89361826,47.43076914,8.40871274
1,86.40504539,47.430783,9.219179139
1,86.89181405,47.40900029,9.363584744
1,88.21624857,47.56919566,8.657166132
1,87.97808184,47.4633184,8.967984707
1,87.39755447,47.36414038,8.91263012
1,86.6695427,47.30026642,8.864153865
1,86.38114669,47.31801894,8.656104089
1,85.71208376,47.18875524,8.416986642
1,89.1286764,143.2514576,7.389422835
1,89.27527452,142.8718672,7.566990909
1,90.06467918,142.7173013,6.917376572
1,89.53775316,142.6422938,6.487626306
1,91.91250446,143.0811955,7.50739066
1,91.06273242,143.1176409,7.548977643
1,90.07812621,143.3902542,6.631733972
1,90.52014377,143.4180838,7.058816592
1,90.42244804,143.6755524,7.114924587
1,91.43354855,142.829309,7.454822942
1,91.39584789,143.1122112,7.640255929
1,90.15141929,142.8548004,7.695192349
1,88.47557783,143.2191292,7.499294462
1,88.22194236,143.3047337,7.079799451
1,88.99275217,143.3035157,7.257031178
1,88.44058207,143.3365381,6.096458715
1,90.30469473,143.433733,7.269598668
1,90.16303106,143.2029465,7.016675319
1,90.06087143,143.219855,6.67543278
1,91.06735756,143.5659913,6.749301788
1,91.75299304,142.5186216,7.464209707
1,92.41956368,97.90629102,10.56604674
1,91.19319412,97.76678123,9.875412159
1,91.16431236,97.56794626,10.21195858
1,91.7893112,99.62523905,10.61829282
1,91.52525269,100.9074398,10.54400999
1,92.39599427,99.80401518,10.04713957
1,91.8824442,98.92289327,8.603295255
1,89.69854334,96.99538907,8.114711028
1,91.0440044,98.93195196,8.359159058
1,89.03750123,96.83683178,7.566549484
1,90.73075581,99.05796504,7.807931927
1,87.6883435,96.66520454,7.534252679
1,10.84233342,37.94152679,45.2438757
1,115.6116218,41.14347518,32.75901556
1,114.4475584,38.11268259,31.56778615
1,114.2854387,38.89980286,32.57919388
1,113.9945027,39.61745017,33.0325842
1,112.9740811,38.42353985,33.21664501
1,112.5771657,39.07516999,34.03375432
1,113.7679321,41.34380844,33.92764703
1,112.2663316,40.17055685,36.0863703
1,111.4965019,40.9863394,35.60495564
1,110.7140766,40.73809787,35.56098461
1,110.2587366,40.46158191,35.47109568
1,109.5957822,40.34692903,36.17866684
1,109.3532566,40.81896794,36.48381097
1,32.43468687,159.6832393,3.902743146
1,32.58823963,159.9759037,3.39113683
1,32.72019333,160.0011622,3.774901882
1,33.40615124,160.2120908,4.069630517
1,35.08766559,159.6069042,5.946909913
1,34.00362161,159.4920094,5.052602377
1,33.24185309,159.597902,4.302759683
1,34.56000272,159.0982271,5.432470794
1,34.36846723,159.7624062,5.405479988
1,104.0609031,92.39041986,40.79426695
1,104.5270903,92.91571975,40.72620934
1,104.9166482,92.6976839,40.71683565
1,105.2439467,93.28677202,40.21904296
1,105.3236579,92.53482581,40.43824243
1,105.7619732,92.81105501,40.76574423
1,105.3269459,92.63620304,40.58830023
1,105.5663611,92.80065891,40.26342835
1,105.6644927,92.32576192,40.30665734
1,106.3443018,92.49393093,40.10893958
1,106.766473,92.2234847,40.19469535
1,106.8007281,92.31303811,40.15689027
1,106.3340086,91.85794183,39.66271119
1,106.8032946,92.08932837,40.17995381
1,106.2695616,92.19490827,39.9958262
1,87.46336681,123.0280044,13.27474621
1,87.2027458,122.6939223,12.40129022
1,74.07124716,125.876806,41.83511243
1,73.48463715,126.2017705,42.30804941
1,72.78232897,125.7430471,42.50587479
1,73.41331167,126.0116882,43.22770088
1,73.50239045,126.8926595,42.66485695
1,73.26305674,126.2596879,42.82049964
1,72.98347155,126.1548255,42.35272232
1,72.92629883,126.4050295,42.79916099
1,73.42129575,126.0480589,41.99619769
1,72.48358757,126.2790631,43.43700178
1,71.71005221,125.7317565,41.49876431
1,74.13877386,125.9552831,42.6316809
1,103.4858198,69.35941607,0.291892762
1,104.6558742,68.08007427,0.933979097
1,105.5580134,67.73098484,1.488026728
1,106.6335274,67.98517343,1.186062265
1,107.8792821,68.22945091,1.772738381
1,108.1242616,68.17736935,1.224149525
1,107.9982993,68.12258767,1.362218238
1,107.5805449,68.16046451,1.280471793
1,108.5797575,68.70374424,1.264917179
1,107.8981297,68.96042954,0.900202194
1,107.8840755,69.51714538,0.567520482
1,107.8423692,69.35569214,0.768123411
1,109.2020784,69.43253538,1.487553242
1,108.1357495,69.05126347,1.542587149
1,107.8616942,69.25190231,1.253734002
1,107.4215425,68.89073541,0.320032399
1,88.20632724,160.5521097,41.41715865
1,87.80567499,161.1518857,41.50585195
1,87.34797084,161.0440875,41.42794867
1,86.48641449,160.7604925,40.42252288
1,120.8794307,151.8152645,64.22360101
1,119.2290868,151.7369276,63.08488286
1,117.1841057,151.3168783,61.67408018
1,117.1709471,151.6961017,62.08071434
1,116.1416052,151.3229724,62.13811215
1,116.4224675,150.6758033,61.53721829
1,118.0308198,150.7726772,61.73802071
1,85.28930528,47.43465642,9.167964204
1,84.57697776,47.39273227,9.140717173
1,84.77091301,47.53593341,9.392877738
1,86.07566531,47.66766873,8.920726057
1,86.37824132,47.45928778,8.770370193
1,87.70638731,47.50015319,8.53564657
1,88.39796041,47.75713968,8.997935757
1,87.93676449,47.25536231,8.72965304
1,86.84220535,47.03550647,8.576367161
1,87.12889267,46.18504774,7.316335859
1,90.4957679,143.4067626,7.711599106
1,90.67541974,142.5794189,7.361629101
1,90.48863169,142.8168961,6.975611907
1,92.03821147,143.2556123,7.443431288
1,90.14874261,143.0064522,6.504605902
1,91.14397093,143.1984175,7.307723767
1,90.35955397,143.2126719,6.965929882
1,90.83757171,143.6046861,6.89464339
1,91.32494927,142.9729247,7.458536598
1,91.39383825,143.0199406,7.538996733
1,90.47902111,143.3415952,6.679816545
1,90.866889,142.9597607,7.302163079
1,90.45452943,142.9375537,7.278282559
1,89.58453383,143.1743173,7.315423546
1,89.23389125,143.1491069,7.171567118
1,89.47516441,143.463044,6.894044332
1,89.44092948,143.4301697,6.884255512
1,90.19009664,143.4820365,7.067645228
1,90.40107981,143.1005435,6.832115278
1,91.17050373,142.977677,7.012597538
1,92.61377436,98.76030618,10.92969907
1,92.40057213,99.72513415,12.54222335
1,91.75107677,98.78273499,11.83695802
1,92.87558886,98.05118844,12.09188741
1,92.34640159,98.23396818,11.12095694
