Phase,Phi1,Phi,Phi2
1,068.06515,124.69900,013.84579
1,067.25116,131.19427,042.43739
1,070.29080,128.49428,044.03439
1,069.65041,127.97682,045.54404
1,069.20285,128.06113,045.87859
1,070.01151,127.56726,045.38389
1,071.72967,126.79737,046.49649
1,073.55958,124.45745,046.52062
1,074.69487,123.64740,048.53561
1,074.61237,124.29650,047.55474
1,075.97549,123.53839,047.39833
1,079.53433,124.82158,048.48963
1,079.86465,125.07715,048.80290
1,098.72093,089.21741,018.96376
1,094.25570,086.10276,021.55417
1,095.03758,087.85381,019.47891
1,106.16045,069.81242,359.95427
1,105.01507,069.91222,000.33872
1,105.69785,069.67674,000.64402
1,105.04285,069.26953,000.86144
1,105.68489,069.49730,000.95991
1,105.35654,069.26311,001.03151
1,104.84585,070.06057,001.38866
1,105.34846,070.39575,001.22156
1,104.55041,069.93386,000.61723
1,104.84167,069.65322,001.44419
1,104.90404,068.07333,001.27609
1,102.26785,068.81993,001.69952
1,102.19090,068.23834,001.25023
1,102.59651,071.18688,001.33737
1,099.84008,070.06812,001.56458
1,089.61522,151.91117,042.10291
1,082.98730,154.51423,041.37845
1,074.03753,156.50551,038.07830
1,064.27489,156.97135,032.49180
1,090.17504,152.30273,052.49075
1,092.58905,152.88089,053.45162
1,099.15833,153.74041,055.17561
1,108.92730,154.91835,059.15513
1,114.89969,155.13114,060.86581
1,120.56129,155.85909,062.42242
1,083.51321,048.67939,006.58038
1,084.28667,051.22808,005.47595
1,083.54833,052.58186,005.95716
1,080.65103,049.98537,006.41249
1,081.29528,050.90162,006.17930
1,081.68898,050.89232,006.72125
1,082.05527,050.07501,006.80115
1,082.00876,049.64534,006.87778
1,084.18811,048.75045,006.98665
1,085.42499,048.35421,007.01973
1,083.38060,144.74226,005.69291
1,080.65686,144.99620,005.53956
1,084.40941,144.80864,005.38735
1,084.35678,143.85617,005.08115
1,089.32751,143.66039,006.29782
1,087.96514,144.14053,006.19867
1,085.13061,144.19275,005.15893
1,083.18677,145.83241,005.99116
1,079.72401,146.23637,005.13513
1,074.99597,145.12579,004.65666
1,088.18510,144.83693,005.81693
1,093.35790,141.64142,006.36120
1,089.20213,141.61298,005.77967
1,088.58220,139.85637,004.63800
1,086.33825,140.90856,005.53400
1,085.78458,139.88812,005.43682
1,085.57031,142.52608,006.15676
1,085.54332,142.89102,006.10600
1,081.74310,143.25129,005.43424
1,082.54162,143.61235,005.85799
1,083.83734,143.66331,005.60116
1,084.02138,100.05363,009.39061
1,084.45871,099.04749,011.22817
1,083.27050,099.02425,011.46157
1,088.09167,101.74644,007.33329
1,084.53350,100.75363,008.68721
1,079.56897,098.98255,012.11722
1,078.79376,097.62554,014.08380
1,078.25129,097.09791,015.02307
1,078.44171,096.83321,015.01235
1,078.18479,097.08848,014.74291
1,077.75350,096.98228,013.77434
1,076.35421,099.28158,013.16725
1,008.46444,040.36391,046.77138
1,090.10022,039.35632,034.75658
1,090.60119,040.53459,032.83226
1,091.65222,041.06273,033.57138
1,091.39572,041.04406,033.55965
1,090.91881,039.74670,034.45379
1,089.69347,040.09092,033.88006
1,090.60638,040.44049,031.93989
1,089.92870,038.62292,034.42993
1,091.49637,038.59296,034.16508
1,092.40202,038.65111,033.82753
1,095.74505,038.56013,033.53494
1,112.76846,035.01901,031.22917
1,116.58119,035.45642,030.17976
1,028.46233,155.95161,005.77572
1,028.30633,156.89881,006.74965
1,036.31295,156.81188,011.05304
1,038.67834,157.17374,012.32816
1,042.64313,156.61436,014.56001
1,030.64268,161.20215,010.26631
1,030.73152,161.97106,009.59866
1,025.13655,162.99327,004.52213
1,032.10424,162.26482,010.37795
1,094.08193,092.33271,042.33683
1,101.46069,092.92333,037.62468
1,102.46374,092.82328,038.37434
1,103.52489,093.63873,036.58357
1,095.42226,092.28233,039.30398
1,104.23865,093.33505,038.71515
1,099.29183,092.75589,039.36270
1,096.83921,092.80614,039.70992
1,096.83411,092.34618,040.28282
1,102.18874,092.81805,040.23186
1,097.00930,092.27312,040.39250
1,094.86309,092.62391,039.92812
1,102.22313,093.20459,040.66052
1,096.56436,093.20123,041.61991
1,092.16299,093.04608,040.84396
1,074.63421,125.64868,015.66541
1,074.72171,125.11806,015.82109
1,069.29536,127.70946,044.25635
1,069.98868,127.94230,044.24586
1,071.47580,127.89248,044.60338
1,071.83142,127.33822,045.14022
1,073.62361,126.75626,046.22894
1,076.12765,124.22438,046.84515
1,076.75204,124.21739,046.21792
1,079.87509,124.09749,046.50036
1,079.52819,123.56266,045.70467
1,081.84539,124.03590,047.87092
1,079.92202,125.21529,046.23161
1,085.73164,122.96933,047.40963
1,106.48453,069.95945,359.68315
1,102.97463,068.23461,359.45050
1,106.11486,066.78881,359.66536
1,104.16857,067.83534,359.46215
1,105.56843,068.32484,000.72300
1,105.31461,068.27535,000.46833
1,105.04860,069.13316,001.49778
1,104.39342,069.07841,001.30321
1,104.41917,069.46408,001.29445
1,103.24355,069.60235,001.54767
1,102.96766,068.25621,000.74026
1,102.22987,067.47016,000.40691
1,103.33743,065.99140,001.59963
1,102.95555,066.08765,001.39605
1,101.45181,067.40627,001.20957
1,099.38214,065.92191,000.73375
1,091.23615,152.84564,044.27563
1,082.46808,154.75756,038.88166
1,069.90207,158.07003,032.38015
1,066.43577,158.36595,030.72479
1,100.96549,152.43502,055.43804
1,103.64191,152.52278,055.32992
1,102.88538,151.83642,054.39077
1,100.97728,152.10285,054.53883
1,100.72602,152.76433,055.67783
1,102.89349,153.99255,055.12013
1,119.04607,156.21924,063.93238
1,083.16685,051.65930,006.48048
1,083.87794,052.59448,005.56567
1,081.11552,051.75411,005.94837
1,081.64686,051.45328,005.99819
1,080.49950,051.26176,005.93878
1,080.91788,050.97732,006.02110
1,081.79853,050.63561,006.85860
1,083.89360,049.30769,007.01552
1,084.32584,048.25590,007.28696
1,086.73578,047.85451,007.10861
1,077.31005,146.51657,004.90703
1,081.97231,145.24606,005.25006
1,081.48301,145.88617,004.91114
1,086.54818,144.28018,005.68042
1,085.68065,145.16893,005.09944
1,086.87395,144.75630,005.99488
1,085.95230,144.58208,005.60257
