Phase,Phi1,Phi,Phi2
1,73.6518779,124.6562662,13.75730816
1,68.75141091,130.0531477,43.06356254
1,71.88364201,128.1497533,44.22982417
1,71.13727514,127.5604522,45.40096958
1,70.8241469,127.8295421,45.67605187
1,71.52510946,127.3802848,44.89918051
1,73.46228031,126.7907634,46.0569544
1,74.40219948,125.0527134,45.38660872
1,75.47422008,124.6851339,47.10489778
1,75.57693695,125.2280409,46.10867002
1,76.78684863,124.2204313,45.82054282
1,79.44681468,125.4242214,47.04570296
1,79.65695482,125.6808631,47.35545194
1,97.43724558,88.60475291,18.50321198
1,94.15385474,86.55597196,20.75745531
1,93.93752797,87.91808814,19.38670409
1,105.703406,69.94296543,0.48076969
1,104.9593181,69.85591494,0.528117831
1,105.4434016,70.12719359,0.664726996
1,104.8489274,69.39246726,0.735222537
1,105.5217193,69.5324447,0.78574912
1,104.9779393,69.37410405,0.801328137
1,104.9658405,69.99796234,1.081106626
1,104.9312838,70.29574305,0.993913129
1,104.4193716,69.83307291,0.567139666
1,104.2954399,69.8580924,0.886893357
1,104.6626803,69.03333712,1.071916618
1,102.9243872,69.2782181,1.059619982
1,102.6928137,68.62488798,1.002527807
1,103.05952,70.81443424,0.878410242
1,101.1292728,69.78586113,1.153947894
1,87.56326154,154.2736427,40.97224005
1,81.20095653,156.5021053,39.13384344
1,74.14762944,157.6717257,35.9456622
1,67.52157657,158.0535404,32.40822177
1,97.18354159,152.2695993,54.29756186
1,100.2821511,152.8019838,55.42197811
1,106.1364089,153.4976749,57.08182383
1,112.9234178,154.1853799,59.79734836
1,116.0754066,154.0464211,60.52852016
1,119.5794733,154.2923342,60.91686978
1,85.71976248,47.33768306,7.072749272
1,86.45352458,49.23910254,6.06515655
1,86.44947794,50.70853116,6.680604312
1,83.86086995,48.76530145,6.891784602
1,83.9977898,49.45330726,6.502507635
1,84.21221465,49.65027504,7.016184767
1,83.91660002,48.90926743,7.062787762
1,84.42700831,48.54799357,7.071064369
1,86.05942431,48.01043176,7.145752995
1,87.78332352,47.64087202,7.14443252
1,85.37543988,144.2341819,5.765383132
1,83.99066219,144.2528174,5.880837412
1,85.49348733,144.0149164,5.581329819
1,84.34273578,144.0149197,5.063099062
1,88.46747591,144.1222556,6.236517541
1,87.20685962,144.2609477,6.205344811
1,85.52113779,144.0973315,5.106299281
1,83.8362059,144.9485381,5.613750279
1,82.71476068,145.5519785,5.509884756
1,81.12636782,145.0755081,5.609065548
1,87.04156824,144.6125265,5.838667481
1,91.27912427,142.1594164,6.349754646
1,88.79260095,142.3385345,6.139994552
1,87.64743469,141.7036875,5.299705664
1,86.65985732,142.1965536,5.842669306
1,85.80137686,141.5121169,5.280835168
1,86.15778103,142.945513,6.092755616
1,85.85689161,142.9560301,6.081893569
1,84.02722015,143.3226621,5.594011119
1,84.52473303,143.7237644,6.00440405
1,84.75571299,143.7807005,5.617573975
1,86.4888502,100.5325644,9.106711088
1,87.11759986,99.58687588,10.37869405
1,86.46396849,99.74972097,10.47614678
1,88.95431748,101.0456398,8.336625162
1,87.46884747,101.3798759,8.040175973
