Phase,Phi1,Phi,Phi2
1,74.53454684,124.6375255,13.72102689
1,69.05028057,129.8501461,43.19509365
1,72.0849786,128.0989488,44.23027252
1,71.42883519,127.4872659,45.3427393
1,71.14721728,127.7662661,45.62956263
1,71.82358276,127.3262585,44.82652439
1,73.69921804,126.7916704,45.96431033
1,74.49515648,125.1748764,45.19089304
1,75.60559606,124.8324282,46.87076209
1,75.69698672,125.3661993,45.87418733
1,76.83638762,124.3254437,45.5919248
1,79.3693842,125.5294816,46.83180338
1,79.57240771,125.7727895,47.1256643
1,97.16923886,88.49832336,18.43670244
1,94.0891841,86.62965263,20.62325122
1,93.80151028,87.9475511,19.33894484
1,105.6280533,69.93061403,0.553316396
1,104.9628442,69.82938426,0.567392476
1,105.3956213,70.14852912,0.668371785
1,104.8314639,69.40498741,0.713599911
1,105.4816912,69.53428544,0.756077669
1,104.9518302,69.3939865,0.763786582
1,104.9791242,69.99610873,1.034417495
1,104.9045439,70.26875745,0.960438235
1,104.4021204,69.82535475,0.565057687
1,104.2654592,69.86594541,0.815472906
1,104.6604295,69.13184738,1.040855186
1,103.0672679,69.32910548,0.970844136
1,102.817348,68.6866533,0.961718705
1,103.1955331,70.7305948,0.817701359
1,101.3348586,69.7636466,1.106392559
1,87.18495541,154.6924786,40.74345697
1,81.06216272,156.7889266,38.85256018
1,74.47795801,157.8650961,35.853424
1,68.43195915,158.1817332,32.66595394
1,98.3542276,152.2533973,54.58974272
1,101.4839135,152.7799939,55.7202093
1,107.0086569,153.4158452,57.29202821
1,113.2102447,154.0360381,59.76818631
1,116.2072969,153.8862456,60.47628163
1,119.3499089,154.0732577,60.68479602
1,86.06574153,47.19327798,7.143573824
1,86.78568114,48.97095545,6.151235338
1,86.85782153,50.43980868,6.782792269
1,84.32833514,48.58674047,6.966919922
1,84.40023889,49.21276996,6.559674142
1,84.57740058,49.44183922,7.063294039
1,84.23680846,48.72002113,7.102701334
1,84.7907109,48.37139565,7.10521795
1,86.37165147,47.91575238,7.172950369
1,88.08259697,47.48719812,7.168687137
1,85.57179657,144.1901967,5.770370328
1,84.31876999,144.1748834,5.905315839
1,85.6098704,143.9408347,5.596259947
1,84.42446412,143.9997922,5.070986333
1,88.37052111,144.158756,6.24105981
1,87.14890147,144.278162,6.206886265
1,85.55295849,144.0736169,5.096699878
1,83.96084426,144.8296516,5.579629254
1,83.1047643,145.4465302,5.539249477
1,81.86336277,144.9954929,5.713106923
1,86.95191249,144.5616004,5.84979178
1,90.89930208,142.2923273,6.335504362
1,88.66359285,142.468487,6.176709284
1,87.51409752,141.9363949,5.376342278
1,86.68164234,142.3511507,5.880370729
1,85.78092564,141.7407583,5.249663593
1,86.2374428,143.0069101,6.084072334
1,85.90765649,143.0013289,6.074608599
1,84.25130111,143.3388792,5.606997295
1,84.76354802,143.7572389,6.023913437
1,84.88975447,143.8020537,5.620671027
1,86.81787797,100.5897362,9.097031762
1,87.45015938,99.66993968,10.29277698
1,86.8252153,99.85973094,10.3776138
1,88.99145134,100.9297594,8.474017248
1,87.65192583,101.3282097,8.13633096
1,84.41890238,99.61917844,10.30064687
1,83.57106762,98.50454746,11.78618121
1,82.78610084,97.51888386,12.76073218
1,82.65172176,97.64707621,12.82338741
1,81.87438751,97.21467761,12.62940524
1,81.45011709,97.07903812,12.16543155
1,80.12044433,98.40643897,13.14542384
1,9.791268784,40.85417535,45.75015073
1,94.52080225,39.27943424,35.40637431
1,93.41053998,39.42652607,34.20756516
1,94.32701407,39.80953113,35.13145862
1,94.10823778,39.72646956,35.10849924
1,95.25281185,39.05041316,35.60129373
1,94.70195328,39.26376062,35.2376559
1,95.92003073,39.5393734,33.36215443
1,96.42048462,38.30746075,35.20369087
1,97.74665545,38.44581368,34.93309972
1,98.81955956,38.54917537,34.670417
1,101.3911823,38.56707486,34.39518884
1,110.6608484,36.71767333,33.5343674
1,114.8344055,36.76802752,32.88305593
1,31.17343202,157.2110446,5.361178703
1,29.34655615,157.8007334,5.134605247
1,35.80327517,157.8538219,8.77053596
1,36.88702531,158.4010593,9.433925531
1,38.91900634,158.0990513,10.66273085
1,32.41757562,159.9304627,7.982600517
1,32.51836591,160.5162058,7.596477773
1,29.91924676,161.1323087,5.591980255
1,34.00727568,160.7077202,8.914430885
1,98.17039062,92.29643391,41.79446991
1,101.6933911,92.55745056,38.76842458
1,102.6351951,92.45569024,39.07696523
1,102.4004858,92.93922507,37.82590336
1,100.0021101,92.25609405,39.49282256
1,102.1786018,92.68931801,39.14786288
1,100.5409568,92.43861935,40.08955017
1,100.249634,92.69524798,39.6219298
1,99.7541304,92.32832891,40.07047162
1,102.8403824,92.59573709,39.93331791
1,100.2609319,92.2587658,40.19478722
1,99.25698335,92.61264531,39.76698404
1,101.4806689,92.82656793,40.21247078
1,99.428878,92.91980561,40.91378816
1,97.10967111,92.87762178,40.82919462
1,78.65690276,124.8648571,14.19277223
1,78.90898646,124.4673879,14.09916195
1,71.55690945,127.2759461,44.13968211
1,71.59081215,127.6657236,44.22267271
1,72.85736469,127.6897543,44.40040027
1,73.0807573,127.1353708,45.07266204
1,74.54309441,127.2812837,45.36617312
1,76.11941034,125.4986211,45.68428457
1,77.43607655,125.2099234,45.19738288
1,79.24975765,125.3224519,45.45808301
1,78.6923781,124.6988522,44.76750937
1,80.68201408,125.0932469,46.50692996
1,79.22252144,125.8107885,45.09566819
1,83.32117705,124.2964888,46.12068387
1,106.3905899,69.65327077,359.6079479
1,103.4942197,69.08159262,359.9700099
1,105.6144768,68.08987373,0.241932841
1,104.2361269,68.51013487,359.7763424
1,105.1000168,68.88821594,0.684481212
