Phase,Phi1,Phi,Phi2
1,84.03152234,123.7440995,12.48771995
1,75.02220781,127.3195175,43.79520053
1,75.05497789,127.1505868,44.15057765
1,75.48535501,126.7649738,44.25607427
1,75.78681073,127.188835,44.33913298
1,75.49330619,126.8116357,43.71428336
1,75.86997901,127.3310704,44.27253229
1,75.28873883,126.6680906,42.79033893
1,75.99257041,126.6083358,43.78428946
1,75.85127884,126.9251342,43.20397394
1,76.01434611,125.6914157,43.00463237
1,76.67264362,127.2457912,44.24963865
1,76.45079524,127.1350092,44.10017879
1,93.08755795,87.94284463,18.36621345
1,92.90476284,87.86518704,18.51659739
1,92.33926425,88.26108877,18.79365079
1,104.7419012,69.46326573,1.266133223
1,104.5166805,69.57267125,0.945304208
1,104.796821,70.01173071,0.876631386
1,104.5901279,69.45591037,0.615709769
1,104.8425275,69.52448498,0.605265562
1,104.5683086,69.49769859,0.502313247
1,105.0859618,70.0097096,0.598104009
1,104.8793831,70.10644221,0.767945099
1,104.4368154,69.92456244,0.641515786
1,104.5199134,70.00046179,0.357680707
1,104.7735379,69.96364316,0.652365872
1,104.8802836,69.82942494,0.192519881
1,104.5319364,69.4724326,0.44317575
1,104.7497365,70.02126459,0.213575281
1,103.6665128,70.0094431,0.469046936
1,84.6778474,159.3970146,38.55339036
1,84.38461166,159.8501979,38.44393515
1,84.16876202,159.7748696,38.64600009
1,83.75638042,159.1222705,38.39420532
1,112.8163906,151.6648349,57.9293613
1,113.6722261,151.7128269,58.21330872
1,114.0629493,151.8667265,58.40262661
1,114.3902919,152.0252229,58.65690916
1,114.6392997,151.872257,58.42184133
1,114.5969374,151.6659264,57.61217042
1,89.92449307,46.53518842,7.8856072
1,90.11849447,46.6993564,7.051253744
1,89.79215202,46.85309439,7.828403309
1,89.55143287,46.62431708,7.915976963
1,89.93311634,46.76293951,7.33630825
1,89.45741538,46.72614935,7.725157661
1,89.52024953,46.61285651,7.63823987
1,89.69891729,46.52721866,7.639891694
1,90.14349644,46.67687895,7.541053719
1,90.35928164,46.53493115,7.328455922
1,87.01748123,143.8962357,5.786709396
1,86.68910656,143.6709267,6.001821207
1,86.75313614,143.4864845,5.753359871
1,85.97759465,143.394764,5.270946231
1,87.38651619,143.9950609,6.177053419
1,86.92840209,144.0280997,6.048703868
1,85.7124199,143.9593193,5.067053179
1,86.33936639,143.937638,5.508151026
1,86.5430155,144.3045988,5.554754553
1,86.92857801,143.6774847,6.090627028
1,86.85002843,144.031643,6.01776769
1,87.30936372,143.8145247,6.129526357
1,87.17693135,143.8405588,6.282405907
1,86.93267697,143.5469298,5.938593412
1,87.00882807,143.5329186,6.072210925
1,86.0920984,143.51082,5.001410824
1,87.1699998,143.6716532,6.037801333
1,86.93227364,143.4476975,6.045804104
1,86.34665679,143.5630225,5.700648189
1,87.07281033,143.9860688,6.117851836
1,86.34188249,143.6564208,5.613736009
1,89.70739291,100.8802709,8.977409151
1,89.56953549,100.3026434,9.438421764
1,89.64142549,100.6741534,9.695672948
1,89.92299922,100.3757666,9.636437147
1,89.66667151,100.4757474,9.297840761
1,89.44152093,100.4037541,9.490283804
1,89.50701406,100.297179,9.862241918
1,89.48387632,99.91595274,10.09622568
1,89.570388,100.2679656,9.897317119
1,89.26552593,99.95962941,9.399643888
1,89.3537263,99.89751138,9.729600062
1,89.14970977,99.88738786,10.09403707
1,13.44875871,41.29438033,43.36363005
1,107.160807,39.49564034,36.95734574
1,105.8597876,38.94377535,35.9752029
1,106.490706,39.27815683,37.20193308
1,106.6519372,39.3476179,36.9873246
1,107.1861476,39.13746511,37.26180498
1,106.6642948,39.51042688,37.17624093
1,108.3990677,39.68792176,35.40526619
