Phase,Phi1,Phi,Phi2,KAM,Phi1*KAM,Phi*KAM,Phi2*KAM
1,80.43201816,123.5694028,11.97124846,1.256772,101.0847083,155.2985655,15.04512987
1,77.10956808,128.4726761,45.10634254,2.2239,171.4839684,285.7103843,100.3119952
1,80.0366241,129.213569,46.38881007,1.881102,150.5570537,243.0639031,87.2620834
1,82.30443328,129.7454535,46.38294447,1.804125,148.4874857,234.0770162,83.6806297
1,84.11093208,131.0618925,46.68041333,1.73779,146.1671367,227.7580461,81.12075548
1,83.74110828,130.9227015,46.0743365,1.234702,103.3953139,161.6505213,56.88807543
1,84.97243313,132.0537023,46.75861108,1.33704,113.611542,176.5610821,62.51813336
1,83.6432489,131.2372543,45.01715367,1.167406,97.64563063,153.2071581,52.5532953
1,84.40366763,131.1071354,45.96367611,0.8189875,69.12554874,107.3751051,37.64367618
1,83.55911535,131.3061616,45.24697376,0.9724922,81.26058792,127.6942179,44.00232906
1,83.4697466,129.868899,44.75100036,1.472289,122.8915897,191.2045514,65.88640557
1,83.81744373,131.292888,45.86365466,1.086521,91.06941278,142.65248,49.83182392
1,83.89902314,130.5759815,45.25446259,1.22568,102.8333547,160.0443689,55.4674897
1,97.38940471,85.54087419,16.53227772,1.000617,97.44949397,85.59365291,16.54247813
1,95.84876201,84.98662654,17.81727583,1.410395,135.1846147,119.8647131,25.12939675
1,96.11628104,87.13509033,18.33328882,1.632304,156.89099,142.2309565,29.92550067
1,107.0672264,69.72742574,1.319331682,2.569905,275.1526004,179.19286,3.390557087
1,104.9154079,70.49483316,0.671562605,1.801674,189.0233627,127.008708,1.209936885
1,104.3066157,71.32756288,359.8582344,1.657064,172.8427379,118.1943367,596.3081254
1,103.1292701,70.05952243,359.0456537,1.357265,139.9737488,95.08933771,487.3200992
1,102.5812561,70.81453781,359.193663,1.01192,103.8040246,71.6586471,363.4752515
1,102.5657088,70.21482,359.0680238,1.25718,128.9435577,88.2726674,451.4131382
1,101.7565147,71.62096113,358.9808313,1.994506,202.9539791,142.8484367,715.9894219
1,99.38392636,72.1757209,358.6229839,1.926712,191.4842035,139.0618276,690.9632066
1,97.16829633,72.8282857,357.9751138,1.953223,189.7913513,142.2498827,699.2052256
1,96.70244657,72.58939402,357.5807345,1.912539,184.9472005,138.8300471,683.8871003
1,99.93047763,71.0420613,358.1037382,2.44858,244.6877689,173.9521705,876.8456514
1,97.83731144,72.63854011,357.0949934,1.58024,154.606433,114.7863266,564.2957923
1,97.15013737,72.54284875,357.2826717,1.508712,146.5715781,109.4462664,539.0366541
1,95.63476447,73.36237682,356.7531439,1.329612,127.1571305,97.54349657,474.3432612
1,93.80626644,73.69744849,356.4274809,1.846673,173.2294995,136.0950883,658.2050054
1,84.28035723,158.6953576,38.0811751,2.279111,192.0842893,361.6843352,86.79122507
1,84.12740388,157.8996949,35.21815774,1.483343,124.7897957,234.2194071,52.24060776
