Phase,Phi1,Phi,Phi2,KAM,Phi1*KAM,Phi*KAM,Phi2*KAM
1,84.24723444,123.649151,12.38484918,0.7200446,60.66176622,89.03290347,8.917643774
1,75.9336272,127.3062855,43.91131072,0.4637438,35.21374883,59.0375006,20.3635981
1,76.15230154,127.3614261,44.31882395,0.6475201,49.31014591,82.46908336,28.69732932
1,76.66125929,127.0282891,44.36964168,0.5966619,45.74085262,75.79294033,26.47367471
1,76.97091468,127.4804564,44.39936909,0.5677601,43.70101422,72.37831667,25.20819023
1,76.49178128,127.1122151,43.74275781,0.601468,46.0073587,76.45392979,26.30986905
1,76.94922613,127.7316374,44.30075089,0.5804775,44.66729441,74.14534155,25.71558912
1,76.16905153,127.10561,42.80564492,0.9699074,73.87692673,123.2806717,41.51751177
1,76.87402673,127.0492425,43.77555904,0.6982161,53.67468313,88.70782661,30.56480011
1,76.45349632,127.2956031,43.12477083,0.6497337,49.67441304,82.7082432,28.01961691
1,76.50573833,126.1351844,42.89062885,1.301843,99.5984599,164.2082069,55.83686493
1,77.22848222,127.7617962,44.14678483,0.8985182,69.39119683,114.7962992,39.66668964
1,76.61443978,127.4696812,43.85685175,0.6723353,51.51059235,85.70236635,29.48650958
1,93.38762679,87.5840879,18.05915033,0.1677059,15.661656,14.68836829,3.028626059
1,93.2136159,87.77065042,18.28406296,0.3988081,37.17434505,35.00364633,7.291832409
1,92.54772032,88.15450846,18.69652254,0.68102,63.02684849,60.03498335,12.73270578
1,104.857153,69.54229633,1.219246201,0.8300633,87.03807445,57.72450798,1.012051525
1,104.3649378,69.64032992,0.892727259,0.4355869,45.45999972,30.33441542,0.388860299
1,104.5989305,70.11504492,0.818804614,0.6482093,67.80199952,45.44922419,0.530756766
1,104.2676407,69.51127935,0.525610988,0.3239518,33.77768989,22.51830407,0.170272626
1,104.4659741,69.63441362,0.51359891,0.2974532,31.07373829,20.71297916,0.152771639
1,104.0188098,69.6392719,0.367149497,0.3671859,38.19424029,25.57055873,0.134812118
1,104.5000421,70.20180224,0.506204547,0.5381194,56.23349995,37.7769517,0.272398487
1,104.1803433,70.26502347,0.595642194,0.5140751,53.5565204,36.12149897,0.30620482
1,103.580199,70.11133178,0.415691251,0.4773163,49.44051734,33.46528147,0.19841621
1,103.742051,70.15188652,0.134301545,0.3826921,39.70126336,26.84657277,0.05139614
