Phase,Phi1,Phi,Phi2,KAM,Phi1*KAM,Phi*KAM,Phi2*KAM
1,83.08295547,123.7878544,12.21120098,0.8494389,70.5738943,105.1502189,10.37266913
1,76.49198465,127.6505398,44.49723631,0.8760512,67.01089495,111.8284086,38.98185727
1,77.59550089,127.9708209,45.16310847,0.9547475,74.08411049,122.1798214,43.11936491
1,78.66949219,127.8646637,45.1100959,0.9045082,71.15720078,115.6546368,40.80245164
1,79.2350213,128.4567088,45.19812223,0.8164313,64.68995145,104.8760778,36.90116169
1,78.91321938,128.1659774,44.51225794,0.7848663,61.93632651,100.5931564,34.93617119
1,79.90649759,129.1135848,45.14574192,0.9771916,78.08395823,126.1687106,44.11603978
1,78.93465033,128.4680751,43.60102046,1.06045,83.70624994,136.2339703,46.23670215
1,79.6719041,128.3887321,44.53908883,0.7721063,61.51517909,99.12974892,34.38891108
1,78.6568376,128.4422162,43.7536716,0.8101293,63.72220879,104.0548027,35.44613134
1,78.62666709,127.2786569,43.4519284,1.38363,108.7902154,176.1065681,60.1213917
1,79.73390146,129.033622,44.78079603,1.230211,98.08952265,158.7385811,55.08982787
1,78.66937685,128.3407649,44.20392167,0.9322612,73.34040767,119.6471155,41.20960106
1,95.0751675,86.46360806,17.38020752,0.6312056,60.01197815,54.57631361,10.97048431
1,94.12251183,86.81783716,18.18688933,0.8438814,79.42823706,73.26395797,15.34757763
1,93.72886435,87.91687497,18.70341854,1.204847,112.928941,105.9263831,22.53475772
1,105.6033243,69.81336326,1.168942101,1.513808,159.8631572,105.6840278,1.769553903
1,104.2528855,69.98118912,0.735867537,0.8420896,87.79027062,58.93043155,0.6196664
1,104.1890555,70.45653761,0.457194258,0.9213879,95.99853501,64.91780123,0.421253257
1,103.5656356,69.71513164,0.040443618,0.671669,69.56182689,46.82549276,0.027164724
1,103.5742151,70.06044669,0.116624274,0.581088,60.18573349,40.71128485,0.067768966
1,103.0132335,69.89984331,359.9003163,0.6226224,64.13834665,43.5212082,224.0819987
1,103.155228,70.81005827,0.076201582,0.9903331,102.1580367,70.12554452,0.075464949
1,102.1365568,70.9792913,359.8991334,0.8550328,87.33010612,60.68962218,307.7255638
1,100.9909259,71.01517852,359.5468884,0.9184144,92.75152065,65.22136257,330.2130398
1,101.1166798,70.85439632,359.2540956,0.7384417,74.66877293,52.32184087,265.2882051
1,102.5921091,70.30678164,359.3597198,1.362026,139.73312,95.75966457,489.4572817
1,101.4699145,70.97456235,358.7996828,0.8447348,85.71516789,59.95468273,303.0905783
1,100.7359839,70.9107615,358.8747832,0.8089002,81.48535749,57.35972916,290.2938839
1,100.0653759,71.53174757,358.6380683,0.8891004,88.9681657,63.59890537,318.86525
1,99.29110655,71.70691667,358.9141413,1.134972,112.6926258,81.38534263,407.3575008
1,85.12714631,159.3800949,39.01313619,1.120709,95.40275901,178.6187067,43.72237285
1,84.88856433,159.2624117,37.48185303,0.8132514,69.03574378,129.5203793,30.48216945
1,85.47822996,158.6718062,37.60469638,0.6076514,51.9409661,96.41714515,22.8505464
1,85.08881448,157.9716831,37.31586604,0.7017792,59.71356016,110.8612414,26.18749862
1,109.4961996,151.2167761,53.5593536,0.3959883,43.35921395,59.88007409,21.20887738
1,110.5631825,151.5445622,54.16319533,0.7426699,82.11194766,112.5475848,40.22537486
