Phase,Phi1,Phi,Phi2,KAM,Phi1*KAM,Phi*KAM,Phi2*KAM
1,81.0441893,123.6285733,12.07490119,1.139313,92.33469845,140.8516407,13.7570919
1,77.13259497,128.3192722,45.06658595,1.952512,150.6023173,250.5449189,87.99304987
1,79.62547049,128.9943504,46.22885043,1.716246,136.6568952,221.3860379,79.34007964
1,81.72754666,129.4025284,46.20512288,1.652974,135.0935097,213.899015,76.37586679
1,83.37719003,130.6194301,46.44182518,1.627618,135.7062153,212.5985355,75.58955062
1,83.02268575,130.4748871,45.83539641,1.186481,98.50483921,154.8059745,54.38282697
1,84.13949638,131.559135,46.48067572,1.272453,107.0635546,167.402816,59.14447526
1,82.92775952,130.8023019,44.79752191,1.159774,96.17745937,151.7011089,51.95500117
1,83.73197752,130.6917903,45.74920278,0.8283148,69.35643621,108.2539441,37.89474175
1,82.79878618,130.8501042,45.0103736,0.9613683,79.60012831,125.7951423,43.27154635
1,82.63529983,129.4259959,44.52427687,1.468924,121.3849752,190.1169516,65.40277888
1,83.1381552,130.9218197,45.68393266,1.094865,91.02505629,143.3417181,50.01773894
1,83.08879039,130.2080161,45.08065325,1.195866,99.3630594,155.7113394,53.91042048
1,97.05678497,85.60790874,16.68591502,0.9738005,94.51394573,83.36502433,16.24875239
1,95.51201011,85.25493198,17.9480236,1.346491,128.606062,114.7949986,24.16685224
1,95.77342565,87.25467161,18.48677224,1.598753,153.1180516,139.498668,29.55578258
1,106.8060611,69.75887405,1.289203083,2.427103,259.2293113,169.3119725,3.12902867
1,104.7396352,70.40887482,0.673583682,1.656838,173.5366078,116.6560993,1.11601904
1,104.2156053,71.15384339,359.918473,1.534633,159.932707,109.1950361,552.342766
1,103.1749547,69.95109046,359.2085897,1.263922,130.4050951,88.41272215,454.0116391
1,102.6908632,70.66190831,359.3476627,0.9306577,95.57004252,65.76204906,334.4296693
1,102.5361539,70.13839402,359.1866283,1.150468,117.9645639,80.6919779,413.2327219
1,101.9107582,71.49208361,359.1574007,1.850281,188.5635395,132.280444,664.5421145
1,99.71884532,72.03885686,358.816652,1.766995,176.2027011,127.2922999,634.02723
1,97.67217203,72.5531204,358.2105799,1.796292,175.4477412,130.3265897,643.450799
1,97.2707513,72.30820041,357.8169299,1.769743,172.1442312,127.9669315,633.244007
1,100.3056133,70.90342689,358.2443056,2.29787,230.4892595,162.9268575,823.1988425
1,98.36474441,72.36712776,357.3484835,1.503458,147.8872619,108.8009372,537.2584362
1,97.62929528,72.28773672,357.5094724,1.405851,137.2522424,101.625787,502.6050493
1,96.20102116,73.1390626,357.0058288,1.271775,122.3460537,93.01643134,454.0310879
1,94.58582223,73.47378004,356.7928374,1.738007,164.3908211,127.697944,620.108449
1,84.45467595,158.8147618,38.31556999,2.098853,177.25795,333.3288393,80.41874902
1,84.1965723,158.1469337,35.58088003,1.390358,117.0633779,219.8808545,49.4701612
1,85.28789656,157.1400521,35.62523458,1.039163,88.62802645,163.294128,37.02042564
1,84.07257952,156.450371,34.86273986,0.9053364,76.11396648,141.6402156,31.5625074
1,105.0147083,150.4678371,48.83406245,0.861614,90.4821429,129.645195,42.07611188
1,106.4324446,151.0472416,49.58671714,1.273012,135.4897792,192.2849511,63.12448596
1,110.7554862,152.6573399,54.14398057,2.158696,239.0874251,329.540789,116.8803943
1,112.7618241,150.9513786,54.12978731,1.888158,212.9121402,285.020053,102.2055909
1,111.2705688,152.1646136,53.99686049,0.7881054,87.69293615,119.9217537,42.55521734
1,112.2103293,152.7910471,54.62828873,0.8557308,96.02183484,130.748005,46.74710922
1,96.25260429,45.16532735,5.87950171,0.6208984,59.763088,28.04307949,3.650573205
1,96.17882033,45.14115888,4.780291047,0.7221184,69.45249585,32.59726143,3.451936122
1,95.58987933,44.9044841,5.471048885,0.5114123,48.88584004,22.9647055,2.797961694
1,95.69140968,44.60475208,5.420534012,0.3814666,36.5030767,17.01522312,2.06775268
1,95.58387712,45.18562089,4.973019341,0.4441645,42.45496499,20.06984871,2.208838649
1,95.42579793,45.08917624,5.294154466,0.4458492,42.54551567,20.10297315,2.360394533
1,96.29048373,44.98432381,5.195287238,0.7952369,76.57374578,35.77319422,4.131484118
1,98.16120211,44.90083681,5.201826975,1.618255,158.8498561,72.66100368,8.417882511
1,99.1748184,45.17118398,5.257796898,1.778943,176.426349,80.35696154,9.353320987
1,100.7453442,45.16178566,5.066125513,2.143149,215.9122838,96.78843577,10.85746183
1,80.38335418,145.1907059,2.707783908,1.13123,90.93206175,164.2440822,3.06312639
1,79.36750002,144.8024253,2.909679046,0.811416,64.4000594,117.4950047,2.360960133
1,78.75613258,144.848486,3.388060439,0.8619925,67.88719561,124.8583086,2.920482688
1,78.41080304,144.7992707,2.82188704,0.5233855,41.03907735,75.78583868,1.476934759
1,79.01667285,145.2758802,3.84022912,0.536445,42.38809907,77.93251954,2.06007171
1,78.97617494,145.3174207,3.360349866,0.4500012,35.5393735,65.39301371,1.512161472
1,78.2723034,144.9803954,2.763984392,0.5788084,45.3046667,83.91587071,1.599817383
1,78.36611772,145.4803548,2.574589028,0.7308366,57.27282703,106.3223678,1.881603891
1,80.20564795,145.5248979,3.138516151,0.8152431,65.38710107,118.6381689,2.558653637
1,80.28037436,145.0457457,3.644891123,0.4964107,39.85203683,72.00226015,1.809362954
1,80.31249858,145.3977467,3.670381472,0.4369957,35.09621654,63.53819012,1.60394092
1,81.08857988,145.1108356,3.511198069,0.5860818,47.52454085,85.0468197,2.057849285
1,81.46631839,144.9128904,3.829901475,0.5953417,48.50029648,86.27268652,2.280100055
1,81.26715436,144.1867401,3.664270996,0.5767366,46.8697423,83.15777027,2.113319196
1,81.65939901,144.2619858,4.052837314,0.4962774,40.52571423,71.59396324,2.011331565
1,80.72624252,143.8779917,3.334216207,0.510941,41.24634708,73.51316498,1.703587763
1,81.77735301,144.3758427,4.312424499,0.4991182,40.81656523,72.06061071,2.152409554
1,82.30002985,143.8065022,5.216176782,0.6911365,56.88055458,99.38992258,3.605090164
1,81.75458948,144.2849175,4.530652264,0.4927672,40.28598015,71.09887479,2.23255683
1,82.58179957,144.6746082,5.323927315,0.8977044,74.13404484,129.8750324,4.779312976
1,78.97569455,145.3381203,2.588506128,1.618606,127.8305331,235.2451535,4.18977155
1,88.75812567,103.2583496,8.552372787,1.909161,169.453552,197.136814,16.32785658
1,90.09612627,103.6515888,10.44908244,2.34551,211.3213651,243.115838,24.50842736
1,89.51177626,103.4686906,10.92823493,2.144341,191.9437718,221.8721554,23.43386221
1,88.73955868,101.9215406,11.08017794,1.95779,173.7334206,199.540973,21.69266157
1,86.57484069,100.2090324,9.857481266,2.355867,203.9588102,236.0791526,23.22291482
1,88.1334083,103.4290514,11.08809558,1.946017,171.5091108,201.2746922,21.57762249
1,89.39729799,104.2479069,12.8102296,2.670383,238.7250248,278.3818383,34.20821934
1,91.20069448,105.0494404,13.91217609,2.825168,257.6572836,296.7823173,39.30423471
1,90.04319795,104.2607792,13.6371171,1.178921,106.153817,122.9152221,16.07708373
1,91.25660383,104.8785069,14.02734458,1.601098,146.1107659,167.9207677,22.45915335
1,89.03244533,102.4749608,13.66126958,1.99842,177.9242194,204.7880112,27.30095435
1,87.34682294,101.8016366,14.53449787,3.191252,278.7457234,324.8746763,46.38324539
1,24.64648333,50.75713097,36.13880992,0,0,0,0
1,92.77008652,38.06521984,44.97691437,2.367039,219.5904128,90.10185991,106.4621104
1,96.11692452,39.24155376,42.74448263,2.260093,217.2331883,88.68956095,96.60650599
1,97.08325381,39.5036015,44.7733544,2.609897,253.3772929,103.100331,116.8538433
1,99.77296795,39.01268935,42.73216521,1.819481,181.5350195,70.98284703,77.75036268
1,101.4596441,39.33757836,42.29814075,1.619848,164.3492016,63.72089763,68.51655869
1,102.1217078,39.74555904,40.71048706,1.168088,119.2871414,46.42631057,47.55343141
