Phase,Phi1,Phi,Phi2,KAM,Phi1*KAM,Phi*KAM,Phi2*KAM
1,73.68474189,123.6506704,11.49141963,16.60456,1223.502718,2053.164976,190.8099668
1,75.90216206,129.9687922,45.39437285,16.60456,1260.322004,2158.074609,753.7535877
1,83.17590818,130.9245312,47.34645399,2.167447,180.2793727,283.7719824,102.6209297
1,86.02895259,132.2088255,47.43792972,1.834511,157.8210598,242.5385447,87.02540389
1,88.68022785,133.9923952,48.26569879,2.367002,209.9062767,317.1602673,114.2450056
1,87.55426953,133.6213357,47.45277419,1.228015,107.5179563,164.0890045,58.2727185
1,89.72609209,134.9581282,48.2987349,1.547678,138.8670987,208.8717259,74.75088943
1,88.34725477,134.1002256,46.36869282,1.314105,116.0975692,176.221777,60.93333108
1,88.91004365,133.7323955,47.22134664,0.8872997,78.88985505,118.6607144,41.89948671
1,88.40701416,133.4449734,46.14853075,1.196199,105.7523819,159.6267437,55.20282633
1,88.30043296,132.4825457,45.91793627,1.422623,125.6182268,188.4727166,65.32391225
1,88.0907904,133.4398422,46.78515461,1.015338,89.44192694,135.4865425,47.50274532
1,87.96578874,132.8216689,46.21527982,1.04246,91.70081613,138.4612769,48.1775806
1,99.71999961,84.95918069,14.94256887,1.005559,100.2743431,85.43146877,15.02563461
1,98.21180384,83.69874982,15.54282843,1.615878,158.6982932,135.2469685,25.11531452
1,97.95773162,86.34020563,16.56721985,1.841016,180.3417512,158.9537,30.50051682
1,108.3027142,70.18995503,1.31422397,3.316826,359.2212583,232.8078678,4.359052233
1,105.5883383,71.53314999,0.491490932,2.438958,257.5255225,174.4663484,1.198725741
1,104.9251535,72.60521937,359.4855886,2.208886,231.7677025,160.3766526,794.0626838
1,102.9297115,71.31811636,357.9010512,1.739772,179.07423,124.0772619,622.6662277
1,102.3008797,72.154898,358.1998876,1.558562,159.4422637,112.4578821,558.2767333
1,102.9378277,71.02727603,358.4748635,1.858027,191.2612633,131.9705966,666.0559751
1,101.7571844,72.61927098,358.1010824,2.779833,282.8679792,201.8694459,995.4612063
1,98.25129827,72.82801367,357.5998395,2.985519,293.3311177,217.4294186,1067.621115
1,94.68750042,74.5396727,356.5872045,3.03142,287.0375825,225.9610546,1080.965584
1,93.45965137,74.38392733,356.2788826,2.963197,276.9393586,220.4142303,1055.724516
1,98.06943171,71.86032244,357.4916762,3.68051,360.9455241,264.4826354,1315.751689
1,94.80648895,74.18197695,355.5683509,1.916013,181.6504653,142.1336322,681.2735827
1,94.27657294,74.08201937,355.791992,1.783906,168.1805441,132.1553588,634.6994693
1,93.10996897,74.08460185,355.3278167,1.670641,155.5533317,123.7687733,593.6252191
1,89.80003567,74.3683673,354.331567,2.663245,239.159496,198.0611824,943.6717741
1,83.04458031,157.6360659,36.03451894,3.3329,276.7792817,525.385244,120.0994482
1,84.14784328,156.0166338,32.85125445,1.88491,158.6111113,294.0773132,61.92165803
1,84.39727855,154.6425342,31.99147063,1.678324,141.6459781,259.5402766,53.69205295
1,81.82335112,153.7809273,30.44743348,1.568569,128.345572,241.2159953,47.75890028
1,101.4565279,150.1376825,44.78258027,1.000735,101.5310985,150.2480337,44.81549547
1,102.1719133,149.7192019,44.23224088,1.871965,191.2622457,280.2691057,82.80120679
1,107.0961475,152.7513448,49.57654644,2.747241,294.2189274,419.6447572,136.198721
1,111.0505308,150.7271369,51.08072867,2.695469,299.3332633,406.2803251,137.6865206
1,109.1024656,152.2460669,51.54891571,1.372151,149.7050573,208.904593,70.73289624
1,109.687235,152.9614431,51.92569282,1.43344,157.2300701,219.261051,74.43236511
1,99.66486996,44.55124515,4.91804218,1.529055,152.3930677,68.12130415,7.519956985
1,98.43621368,44.24384364,3.242988085,1.392351,137.0577606,61.60295993,4.515377703
1,97.95349087,43.69252197,3.550895308,1.222681,119.7658722,53.42201646,4.341612226
1,97.98533538,42.8345855,3.035795647,0.8518544,83.46923908,36.48883013,2.586055879
1,98.56820069,43.90345464,2.724372103,0.673973,66.43230592,29.58974303,1.836153239
1,97.68787464,43.73866806,2.964790334,1.09409,106.8793268,47.85403934,3.243747457
1,101.5832925,43.54927393,2.679956376,2.383667,242.140742,103.8069671,6.388123575
1,103.5985496,41.855897,2.816985933,3.408373,353.1024994,142.6605092,9.601338795
1,106.1104583,43.68237144,3.04642477,3.623865,384.529976,158.299017,11.0398321
1,112.3323752,42.92789013,2.792915922,0,0,0,0
1,70.85109314,146.7396498,359.4968444,0.7163775,50.75612898,105.1209835,257.5354507
1,71.26474114,145.9391284,0.270906859,0.7836315,55.845296,114.3624981,0.212291149
1,71.5954623,145.9473994,1.229669098,1.278931,91.56565619,186.6566534,1.572661929
1,73.68298137,145.5341004,1.424373058,1.172975,86.42829507,170.7078614,1.670753988
1,73.60115425,146.2582252,2.070004494,0.7642395,56.24890932,111.7763129,1.5819792
1,73.80658382,146.2402926,1.778196109,0.6178929,45.60456411,90.36083847,1.098734751
1,73.53464105,145.7404735,1.481545376,0.7408797,54.4803228,107.9761583,1.097646894
1,73.71125879,146.2543718,1.287471689,0.9369189,69.0614715,137.0284852,1.206256559
1,76.66471232,146.2365688,2.039766372,1.342687,102.9367126,196.3499398,2.73876779
1,76.33274376,145.6719564,2.707015054,0.8613663,65.75045306,125.4769141,2.331731541
1,76.98365269,146.047515,2.620017331,0.5483891,42.21699601,80.09086531,1.436788946
1,77.46238888,145.5765064,2.277166032,0.6952028,53.85206964,101.2051949,1.583092202
1,77.87825845,145.2079621,2.276375396,0.8343067,64.97435281,121.1479756,1.899195245
1,76.93537791,144.4939622,2.246943806,0.822717,63.29604331,118.8776391,1.848598867
1,77.87431019,144.6488398,2.692110554,0.7417351,57.76210925,107.2911216,1.996832891
1,76.94523395,144.089835,2.689614022,0.7751502,59.64411349,111.6912644,2.084854847
1,77.99008073,144.9634458,3.281205785,0.8866228,69.14778375,128.5278962,2.90919186
1,79.04434163,144.0466861,5.120626956,1.043651,82.49470619,150.334468,5.344147443
1,78.39422249,144.8072995,3.925602793,0.7778257,60.97704098,112.6348391,3.05343474
1,78.94354033,145.1452921,4.882236802,1.068475,84.34919926,155.084116,5.216547968
1,74.5335588,146.257628,0.981827404,2.207062,164.5001853,322.7996529,2.166953954
1,89.05320627,104.5593401,8.749852566,3.041845,270.8860502,318.053306,26.61569528
1,90.24560583,105.5115258,11.33237194,3.909761,352.8387501,412.5248485,44.30686585
