Phase,Phi1,Phi,Phi2,KAM,Phi1*KAM,Phi*KAM,Phi2*KAM
1,070.85631,124.27736,011.44068,16.16575,1145.445344,2009.036777,184.9471304
1,075.76573,130.95604,045.86250,16.16575,1224.80992,2117.002523,741.4017452
1,084.13224,131.80305,047.74206,2.153233,181.1563185,283.8026784,102.7997756
1,086.71237,133.25329,047.63492,2.076245,180.0361266,276.6664687,98.90175444
1,090.46581,135.23116,048.83407,2.855451,258.3206954,386.1459377,139.4433011
1,089.16565,134.62613,047.95528,1.400993,124.9204561,188.6102719,67.18501273
1,091.39087,135.89343,048.74940,1.531288,139.9457437,208.0919754,74.64936942
1,089.56874,135.14848,046.67147,1.250699,112.0235274,169.0300649,58.3719667
1,090.25798,134.61287,047.44868,0.960943,86.73277289,129.3552936,45.59547318
1,089.81134,134.00958,046.18954,1.447737,130.0231973,194.01062,66.87029998
1,089.55832,133.03546,045.93714,1.600664,143.3527867,212.9450705,73.5299241
1,089.47599,134.17400,046.92744,1.014426,90.7667679,136.1095929,47.60441061
1,089.20645,133.59676,046.45818,1.048232,93.50905162,140.0403989,48.69895266
1,100.68426,084.65089,013.84132,0.9911521,99.79341167,83.90190463,13.71885147
1,099.19301,083.33814,014.08018,1.790668,177.6217509,149.2309423,25.21292605
1,098.37190,086.24942,015.68656,2.216651,218.0561659,191.1848589,34.77161875
1,108.45629,070.45066,001.28050,3.596586,390.0723596,253.3818411,4.605437951
1,105.56040,072.07027,000.30753,2.640686,278.7518825,190.3149649,0.812101468
1,104.98650,073.18405,359.21831,2.363209,248.1050435,172.9492154,848.907937
1,102.76953,071.95781,357.45260,1.903519,195.6237473,136.9730635,680.4178113
1,102.28425,072.74384,357.81966,1.683722,172.2182452,122.4804077,602.4688273
1,102.94051,071.41972,358.24686,2.002474,206.1356937,143.0161244,717.3800229
1,102.01940,073.04121,357.90984,3.037727,309.9070988,221.8792619,1087.232392
1,098.00146,073.17035,357.26587,3.330641,326.4076934,243.7041649,1189.924347
1,094.00618,074.95200,356.09900,3.308276,310.9983928,247.9619011,1178.073763
1,092.13105,075.05797,355.70830,3.623951,333.8784057,272.0063897,1289.06944
1,097.36382,072.27604,357.19496,3.945111,384.1110966,285.1369973,1409.173764
1,094.06876,074.51876,355.08753,2.02973,190.9341893,151.2529578,720.7318221
1,093.34904,074.57440,355.20575,1.873835,174.9206956,139.74012,665.5969747
1,092.48189,074.19277,354.82573,1.733851,160.3498194,128.6392007,615.214941
1,088.74795,074.36742,353.62001,2.92367,259.469728,217.4258051,1033.868206
1,082.53567,157.04422,035.08800,0,0,0,0
1,084.45491,155.14979,031.90342,1.489576,125.802,231.1074059,47.52256551
1,083.62973,153.58736,030.38795,1.12769,94.30841052,173.1989245,34.26818693
1,081.44215,152.93355,029.35542,1.649806,134.3637484,252.3106859,48.4307402
1,100.83677,150.10967,043.94454,1.094199,110.335495,164.2498465,48.08406988
1,101.30606,149.16921,042.92291,2.10219,212.9645853,313.5820317,90.2321098
