Phase,Phi1,Phi,Phi2,KAM,Phi1*KAM,Phi*KAM,Phi2*KAM
1,78.8212151,123.4865265,11.76983585,1.694449,133.5585291,209.2416214,19.94338658
1,76.90326646,128.8124222,45.13901222,2.846003,218.866927,366.6005399,128.4657642
1,80.92187512,129.6606739,46.68602871,2.190151,177.2311257,283.9764547,102.2494525
1,83.35798875,130.4070249,46.70033105,2.072774,172.7822718,270.3042907,96.79923199
1,85.40669724,131.9042667,47.13070876,1.888973,161.3309451,249.1635983,89.02863632
1,84.97172147,131.7515679,46.50566377,1.301028,110.5505888,171.4124789,60.50517072
1,86.59814425,133.0113609,47.29617582,1.510711,130.8247691,200.9417261,71.45085307
1,85.15662592,132.1134153,45.46488803,1.21794,103.715661,160.9062131,55.37350573
1,85.76896103,131.9268657,46.38672863,0.8126945,69.7039629,107.2162381,37.69823923
1,84.99277603,132.1220198,45.65407689,0.984946,83.71329478,130.1330549,44.96680041
1,85.03414467,130.7285871,45.18569906,1.467132,124.7563147,191.7960934,66.29338503
1,85.13262059,132.0029855,46.20245017,1.073425,91.38348325,141.6953047,49.59486508
1,85.33860746,131.2819261,45.58094356,1.231375,105.0838278,161.6572817,56.12723437
1,98.06193541,85.4130117,16.1753692,1.054224,103.3792458,90.04444685,17.05246242
1,96.51566848,84.50552237,17.42914149,1.512112,145.9425005,127.7818144,26.35481399
1,96.72085832,86.87266928,17.91315422,1.667915,161.3221704,144.8962282,29.87761861
1,107.5868871,69.75169282,1.358203806,2.841069,305.6617697,198.1693722,3.858750728
1,105.2412845,70.70687319,0.657475776,2.058745,216.6649683,145.5674216,1.353574967
1,104.4990199,71.6847117,359.7552306,1.868865,195.2945608,133.9690487,672.3339589
1,103.0373527,70.3489327,358.707044,1.5049,155.0609122,105.8681088,539.8182305
1,102.4394003,71.16293077,358.8953554,1.190251,121.9285986,84.70174951,427.1755557
1,102.6812541,70.41601221,358.8651574,1.457571,149.6652183,102.6363373,523.0714463
1,101.5865445,71.88276939,358.662228,2.259008,229.4848166,162.3837511,810.2208423
1,98.86141511,72.38925085,358.272783,2.237545,221.2068651,161.9742063,801.6514743
1,96.29498216,73.36249511,357.5336004,2.267412,218.3403981,166.3430018,810.6759759
1,95.70449558,73.13205631,357.1728559,2.158365,206.5652336,157.8456707,770.9093912
1,99.30981941,71.28741708,357.8912294,2.814386,279.4961654,200.6303086,1007.244066
1,96.83043053,73.16616336,356.6081331,1.697047,164.3257916,124.166418,605.1807624
1,96.22359877,73.04682953,356.8319185,1.627185,156.5735966,118.8607053,580.6315453
1,94.70924358,73.67148583,356.3036755,1.457656,138.0534972,107.3876834,519.3681904
1,92.39186489,74.02058459,355.7472653,2.096035,193.6565825,155.149736,745.6587193
1,83.93256919,158.4407641,37.56974675,2.618847,219.806557,414.9321199,98.38941857
1,84.03723706,157.3814843,34.50654053,1.640514,137.8642639,258.1865284,56.60846284
1,85.14153657,156.2108817,34.3814864,1.308106,111.3741548,204.3403917,44.97462864
1,83.1706806,155.4898691,33.1630862,1.120399,93.18434737,174.2106939,37.15588861
1,103.2694568,150.2099165,46.89256664,0.9494561,98.04981569,142.6177215,44.52243344
1,104.5462733,150.625548,47.33157857,1.498931,156.7076499,225.7773033,70.94677039
1,109.4342711,152.694494,52.4533392,2.404939,263.1827466,367.2209436,126.1470811
1,111.9541894,150.7358863,52.88922806,2.16988,242.9271564,327.0787849,114.7632782
1,110.5916251,152.2900257,53.29529235,0.9522092,105.3063629,145.0119636,50.74826769
1,111.5241885,152.9392285,53.99234839,1.102426,122.947165,168.6041819,59.52256867
1,97.3283363,44.83763325,5.351208763,0.807193,78.56275176,36.19262369,4.319458255
1,97.34620759,44.72636442,4.067902017,0.8502759,82.77113427,38.02974977,3.458839049
1,96.62485924,44.34720011,4.651941787,0.6806413,65.7668698,30.18453594,3.166303706
1,96.75447584,43.78010265,4.532384558,0.5560963,53.80480602,24.3459531,2.520442283
1,96.78989955,44.68125576,4.11710193,0.5043862,48.81948963,22.5366088,2.076609398
1,96.68608989,44.56522361,4.42070031,0.6137184,59.33803239,27.35049773,2.713065121
1,98.44317806,44.44235237,4.274562505,1.368441,134.713681,60.81673712,5.849486589
1,100.7621306,44.11736103,4.330869791,2.409725,242.8090251,106.3107078,10.43620521
1,102.7545517,44.65620563,4.384974909,2.69452,276.8741946,120.3270392,11.81540259
1,104.8880838,44.62216984,4.216515581,3.105571,325.7373912,138.5773166,13.09468851
1,76.79657913,145.763485,1.572471661,0.9409384,72.26085029,137.1544604,1.479598969
1,76.1464342,145.2597604,1.775936435,0.803468,61.18122319,116.7115691,1.426908095
1,75.59853966,145.3468123,2.463917885,1.066073,80.59356197,154.9503122,2.626716332
