Phase,Phi1,Phi,Phi2,KAM,Phi1*KAM,Phi*KAM,Phi2*KAM
1,087.37033,143.66344,006.04757,0.3104504,27.12415447,44.60037229,1.877470354
1,087.16521,143.44628,006.05444,0.3406569,29.69343174,48.86596526,2.062488426
1,086.55960,143.55686,005.70952,0.4121784,35.67799829,59.17103741,2.353342715
1,087.30158,143.98544,006.13008,0.4403822,38.4460615,63.40862574,2.699576166
1,086.53095,143.63937,005.61900,0.2904004,25.12862233,41.71293051,1.631759056
1,089.94292,100.88411,008.98341,0.6091707,54.79058897,61.45564625,5.472427388
1,089.73665,100.31230,009.41140,0.465566,41.77833361,46.70199816,4.38163006
1,089.86901,100.69332,009.69616,0.3935731,35.37002341,39.63018185,3.816149607
1,090.15605,100.31918,009.71736,0.3250758,29.30755068,32.61133837,3.15887985
1,089.94922,100.46700,009.32088,0.377334,33.940899,37.90961537,3.517083959
1,089.74009,100.40684,009.47328,0.4566721,40.98179375,45.85300281,4.326184749
1,089.92687,100.33465,009.81820,0.6270238,56.3862888,62.91221505,6.156248103
1,089.95151,100.02067,009.97634,0.6431224,57.84982981,64.32553248,6.416008231
1,090.14001,100.42116,009.75403,0.5144686,46.37420709,51.66353546,5.018143958
1,089.86671,100.16964,009.20170,0.6073713,54.58246131,60.84016148,5.58885005
1,090.03630,100.13412,009.58788,0.3024831,27.23446064,30.28887846,2.900170299
1,090.08902,100.19485,009.81649,0.4068356,36.65142065,40.76283001,3.993696048
1,013.93376,041.26958,043.09387,0,0,0,0
1,108.25292,039.67389,037.28580,0.7639513,82.69996271,30.30891834,28.48453629
1,107.41068,039.00353,036.22698,1.492107,160.2682284,58.19743846,54.05452301
1,107.98535,039.34215,037.47717,0.4874353,52.63587257,19.17675062,18.26769532
1,108.04150,039.42522,037.25715,0.4575608,49.43555665,18.03943738,17.04741226
1,108.24204,039.24245,037.53561,0.5971307,64.63464367,23.43287302,22.41366623
1,107.52642,039.62748,037.46170,0.7534211,81.01267226,29.85617981,28.22443451
1,109.38624,039.71170,035.63797,1.092001,119.449881,43.3652198,38.91670287
1,108.64712,038.98290,037.38091,1.030684,111.9808508,40.17905306,38.52790746
1,107.97733,039.41950,037.29268,0.5152597,55.63636852,20.31127853,19.21541293
1,108.17042,039.45158,037.11449,0.3947909,42.70469867,15.57512574,14.65246148
1,108.07016,039.76499,036.98042,0.3785542,40.9104114,15.05320364,13.99909202
1,108.09307,039.29803,037.25715,0.4055206,43.83396707,15.93616053,15.10854262
1,107.84097,039.38053,037.36258,0.3813688,41.12718089,15.01850731,14.24892205
1,036.40116,159.52807,006.65032,0.3437154,12.51163758,54.83225448,2.285817832
1,035.01517,159.60943,005.45971,0.31445,11.01052011,50.18918573,1.716807288
1,035.22430,159.64610,005.71124,0.3236178,11.39921042,51.66431834,1.848259975
1,035.78866,159.96065,006.11289,0.3486946,12.47931293,55.77741607,2.131530529
1,036.07457,159.52520,006.55406,0.2876843,10.3780873,45.89289595,1.885501388
1,035.35608,159.58364,005.71525,0.270701,9.570925694,43.19945111,1.547124932
1,034.98194,159.79965,005.30903,0.2814918,9.847128526,44.98229175,1.494447586
1,035.61735,159.53609,005.92152,0.2745538,9.778878761,43.80123944,1.62577547
1,035.27759,159.73033,005.77541,0.2086046,7.359066623,33.32048072,1.204778049
1,103.86751,092.24048,040.70292,0.2780965,28.88518997,25.65175334,11.31933985
1,103.57301,092.19292,040.26976,0.4171526,43.20575002,38.4585149,16.79863675
1,103.97580,092.02046,040.31331,0.3973467,41.3144406,36.56402661,16.01836064
1,103.74719,092.38257,039.66644,0.6097881,63.26379926,56.33379218,24.18812291
1,103.48306,091.99353,040.20903,0.4943017,51.15185024,45.47255818,19.87539355
1,103.92137,092.26569,040.48577,0.3677522,38.21731215,33.93090884,14.88873177
1,103.70593,092.15281,040.36717,0.2341526,24.28301347,21.57782002,9.45207765
1,103.81594,092.45018,040.20674,0.3263506,33.88039379,30.17117033,13.12149432
1,103.73458,092.14823,040.36488,0.2234121,23.17556126,20.58702885,9.018002113
1,103.83943,092.19636,040.16778,0.272819,28.32937061,25.1529185,10.9585333
1,103.70937,092.05426,040.30300,0.2687271,27.86951926,24.73747537,10.83050731
1,103.86865,092.29835,040.32076,0.2877145,29.88451779,26.5555729,11.60086678
1,103.58962,092.19406,040.07038,0.3989087,41.32280068,36.77701429,15.98442204
1,103.94601,092.35220,040.48291,0.3649463,37.93471018,33.70359498,14.77408708
1,104.07034,092.53555,040.32935,0.4468471,46.50352767,41.34924052,18.02105487
1,085.68011,123.40595,012.79759,0.6808118,58.33202714,84.01622387,8.712747172
1,085.37702,123.21687,012.02925,0.6354505,54.25286769,78.29822303,7.643992235
1,075.83154,126.75546,042.93402,0.8770283,66.50640666,111.1681226,37.65434995
1,075.91576,127.32555,043.37405,0.7775681,59.02967569,99.00428222,33.72627828
1,075.90373,127.07230,043.82783,0.6402098,48.59431073,81.35292882,28.05900943
1,075.90488,126.97604,044.26156,0.6720862,51.01461953,85.33884715,29.74758513
1,075.82466,128.02856,043.55911,0.9953091,75.46897614,127.4279937,43.35478334
1,075.75992,127.31581,043.70121,0.5629072,42.6458037,71.66698348,24.59972578
1,075.52157,127.06715,043.42103,0.5435662,41.05097042,69.06940539,23.60220551
1,075.93352,127.32153,043.79116,0.7375637,56.00580915,93.90773802,32.29877268
1,075.48433,126.54346,042.91855,0.767163,57.90878305,97.0794613,32.92552274
1,075.79086,127.28086,044.06905,0.8683009,65.80927147,110.5180871,38.26519568
1,075.35483,127.32899,043.13857,0.7719665,58.17140733,98.29371288,33.30152811
1,076.02004,127.09694,044.02780,0.594525,45.19581405,75.56230749,26.17562514
1,104.70059,069.29122,000.03323,0.4072164,42.63579788,28.21652283,0.013532433
1,104.34134,069.19898,000.63025,0.3946163,41.17479506,27.30704371,0.248708332
1,104.46912,069.24997,000.87147,0.4713844,49.24511167,32.64335545,0.410796797
1,104.21300,069.50322,000.40680,0.5822222,60.67512482,40.46631738,0.236848013
1,104.84097,069.54848,000.75745,0.4950706,51.90367964,34.4314093,0.37499133
1,104.81633,069.34623,000.63312,0.4070815,42.66878839,28.22956636,0.25773077
1,104.63413,069.39665,000.72880,0.2915046,30.50132927,20.22944214,0.212449227
1,104.77507,069.51984,000.83365,0.2857336,29.93775924,19.8641534,0.238202849
1,104.90399,069.54906,000.58900,0.2763988,28.99533627,19.22327587,0.162799063
1,104.48974,069.72724,000.59530,0.3527128,36.85486996,24.59369108,0.209971049
1,104.57568,069.67740,000.25325,0.4559319,47.67938886,31.76814763,0.115463547
1,104.54417,069.61838,000.45779,0.3619736,37.84223072,25.20001684,0.165709078
1,104.83294,069.84012,000.47613,0.3033434,31.80038042,21.18553903,0.144430272
1,104.49948,069.96674,000.32945,0.3643921,38.07878615,25.49532859,0.120049244
1,104.13336,069.99654,000.52254,0.5060476,52.69643579,35.42157944,0.264428841
1,104.24280,069.71579,000.36497,0.4624263,48.20461134,32.23841421,0.168773632
1,086.28458,159.90507,039.60857,0.455874,39.33489556,72.8965636,18.05651767
1,086.78763,159.88674,039.46132,0.5887957,51.10018616,94.14062332,23.23465689
1,086.02388,159.75038,039.01098,0.3878618,33.36537811,61.96106965,15.13086784
1,085.49848,159.51145,038.23118,0.6337159,54.18174897,101.0849393,24.22770749
1,114.20882,151.79027,058.39357,0.3372877,38.52123108,51.19699169,19.69543241
1,113.76535,151.62698,057.86816,0.4598842,52.3188879,69.73085043,26.61265386
