Phase,Phi1,Phi,Phi2,KAM,Phi1*KAM,Phi*KAM,Phi2*KAM
1,74.69125148,123.5617026,11.53296201,16.74764,1250.902191,2069.366913,193.1498959
1,76.09309941,129.6936707,45.2969228,16.74764,1274.379835,2172.062908,758.6165561
1,82.76679726,130.6455275,47.21817597,2.139724,177.0981025,279.5453707,101.0338644
1,85.59293289,131.8394509,47.32251924,1.74297,149.1859142,229.7922078,82.48173136
1,87.9926361,133.5725341,48.03578968,2.22079,195.4131663,296.6365481,106.6774014
1,87.01107378,133.2600802,47.27028781,1.219722,106.1293209,162.5402515,57.65660999
1,89.15328172,134.6065011,48.12735197,1.56913,139.8930889,211.215099,75.5180718
1,87.83849067,133.7353766,46.22911889,1.322998,116.2101475,176.9316358,61.16103183
1,88.36449249,133.403055,47.09229268,0.8641192,76.35745456,115.2761411,40.69335428
1,87.79183082,133.2246553,46.0868899,1.11408,97.80712288,148.422924,51.3444823
1,87.73784899,132.2084093,45.8391085,1.401367,122.9529262,185.2725019,64.23741396
1,87.52956279,133.1771654,46.69359308,1.017921,89.09818008,135.5638334,47.53038897
1,87.51142381,132.5381973,46.10854317,1.068399,93.49711768,141.6036774,49.26232141
1,99.39600463,85.0584538,15.24682466,1.021566,101.5395789,86.89282441,15.57563768
1,97.87461906,83.83599315,16.01625262,1.583367,154.971442,132.743145,25.35960587
1,97.7475503,86.41173754,16.85004311,1.76678,172.6984169,152.6705297,29.77031916
1,108.224645,70.09424144,1.330734605,3.232332,349.8179832,226.5678596,4.301376046
1,105.5744341,71.34645432,0.540907025,2.38158,251.4339608,169.9172887,1.288213352
1,104.8528808,72.41959544,359.5510625,2.150609,225.497549,155.7462337,773.2537509
1,102.9546095,71.10881605,358.0509691,1.699081,174.9282209,120.8196383,608.3575986
1,102.3162983,71.95030643,358.3337212,1.498834,153.3551466,107.8415656,537.0827647
1,102.9102495,70.90177538,358.5496283,1.804186,185.6692313,127.9199905,646.8902197
1,101.6621005,72.47119811,358.1846581,2.683931,272.8540632,194.5076952,961.3429077
1,98.33278836,72.72489581,357.7152345,2.840708,279.3347386,206.5901933,1016.164528
1,94.95251498,74.34724709,356.764833,2.897143,275.0910141,215.3946065,1033.598739
1,93.92577627,74.13917329,356.4635892,2.750263,258.3205872,203.9022252,980.3686202
1,98.30131509,71.73461419,357.5781202,3.538976,347.8859949,253.867078,1265.460385
1,95.13699944,74.02071221,355.7535557,1.873273,178.2175723,138.6610016,666.4235306
1,94.61074191,73.90828204,355.9898418,1.754604,166.0043862,129.6797673,624.6212004
1,93.3707569,74.02379983,355.5057344,1.638298,152.9691243,121.2730432,582.4243336
1,90.22831078,74.33350847,354.5913722,2.558589,230.8571635,190.1888971,907.2535844
1,83.23294794,157.8174429,36.36240433,3.190589,265.5621281,503.5305974,116.0174873
1,84.08243097,156.2969568,33.17218042,1.845194,155.1483971,288.398207,61.20910828
1,84.61384283,154.9733868,32.51280321,1.604177,135.7355805,248.6047428,52.15629111
1,82.04313382,154.1225775,30.94583775,1.490845,122.3135958,229.772874,46.13544747
1,101.7187023,150.134417,45.10984086,0.9816672,99.85391372,147.3820328,44.28285117
1,102.5674317,149.913777,44.7811273,1.789029,183.4961098,268.2000945,80.11473538
1,107.5460553,152.7342417,50.11765522,2.669115,287.0527895,407.6652557,133.7697853
1,111.122679,150.68344,51.34043325,2.573455,285.969214,387.7770521,132.1222946
1,109.4338804,152.2642306,51.92723637,1.288317,140.9855285,196.1645968,66.89874138
1,110.1151197,152.9666489,52.4091506,1.38203,152.1823989,211.4044978,72.43101841
1,99.11855569,44.58767298,4.968822355,1.340841,132.9022233,59.78498003,6.662400736
1,98.27217881,44.31695125,3.36698594,1.239799,121.837749,54.94411184,4.174385801
1,97.74888836,43.78844535,3.716072679,1.077291,105.3039977,47.17289808,4.003291653
1,97.76146848,42.98984411,3.317689859,0.7788974,76.14615362,33.48467781,2.584140005
1,98.2594253,44.04221536,2.976917742,0.6341429,62.31051691,27.92905817,1.88779125
1,97.46636268,43.90434633,3.264536973,1.011073,98.54560771,44.39049915,3.300685191
1,101.0108047,43.72036769,2.995641722,2.193676,221.5849781,95.90832131,6.57146735
1,103.0314132,42.37363005,3.15295881,3.188737,328.5400794,135.118362,10.05395642
1,105.7358031,43.86805773,3.300086965,3.591057,379.7032958,157.5326958,11.8508004
1,111.1319793,43.28639164,3.060735154,0,0,0,0
1,71.96133725,146.547532,359.9241573,0.7252571,52.19047076,106.284638,261.0375505
1,72.10445949,145.8176507,0.518595538,0.7719326,55.65978288,112.5613983,0.400320802
1,72.24889027,145.8667069,1.447924728,1.22275,88.34233057,178.3585158,1.770449961
1,74.09894888,145.4823575,1.572937966,1.026871,76.09006173,149.3916139,1.615204382
1,74.20089268,146.1497591,2.281033533,0.7300737,54.17212026,106.7000954,1.665322591
1,74.42306806,146.1299303,1.96631633,0.5776107,42.98756044,84.40621134,1.135765352
1,74.08147289,145.6526923,1.622055045,0.7242695,53.65495133,105.4918026,1.174804997
1,74.17279993,146.1852736,1.388176719,0.9299547,68.97734391,135.9456823,1.290941464
1,77.10329338,146.1447137,2.17994762,1.291191,99.55507849,188.700739,2.814728747
1,76.72421996,145.6133967,2.784663384,0.8163177,62.63133877,118.8667931,2.273170009
1,77.31675682,145.9866635,2.712488159,0.527124,40.75551812,76.95307403,1.429817609
1,77.87248008,145.5303449,2.408373781,0.6920509,53.89171992,100.7144062,1.666717243
1,78.28213221,145.1894264,2.442193025,0.7984511,62.50445457,115.9266572,1.949971707
