Phase,Phi1,Phi,Phi2,KAM,Phi1*KAM,Phi*KAM,Phi2*KAM
1,79.69116265,123.5197135,11.86354656,1.438581,114.6421925,177.693113,17.06667268
1,77.03207781,128.6359215,45.12776602,2.520937,194.1930151,324.283054,113.7642551
1,80.465834,129.4344295,46.5397158,2.03613,163.8388986,263.5453249,94.76091153
1,82.83510875,130.0772554,46.54465869,1.94062,160.7514687,252.4305234,90.32549555
1,84.78070198,131.4886414,46.90899304,1.823955,154.6361853,239.829365,85.5598924
1,84.39414928,131.3491682,46.29861969,1.278322,107.8828977,167.9065314,59.18454412
1,85.80532957,132.5423484,47.03427338,1.424178,122.2020627,188.7638967,66.9851774
1,84.39096719,131.6753286,45.24088309,1.186956,100.1683649,156.2928213,53.69893763
1,85.07681148,131.5179653,46.17597476,0.8129591,69.16396809,106.9187267,37.53917888
1,84.28428795,131.7374391,45.46745021,0.9817511,82.7461924,129.3333757,44.63771926
1,84.26866137,130.3024494,44.97160062,1.475031,124.2988878,192.2001522,66.33450504
1,84.48775388,131.6559631,46.03875088,1.082134,91.42707106,142.469394,49.82009765
1,84.64995306,130.9340021,45.42162812,1.238263,104.8189048,162.1307303,56.2439215
1,97.72314134,85.47843242,16.36257975,1.028582,100.5162642,87.92157697,16.830255
1,96.18332931,84.7357814,17.64576624,1.466496,141.0524677,124.2646845,25.8774456
1,96.42924472,87.0087477,18.13791962,1.654239,159.5170174,143.9332638,30.00445402
1,107.3311764,69.72342295,1.342492774,2.707952,290.6476738,188.8076826,3.635405993
1,105.0863961,70.59325127,0.666494261,1.936192,203.4674394,136.6820884,1.290460856
1,104.4038622,71.50500342,359.8055358,1.76963,184.7562067,126.5373992,636.7226703
1,103.0817608,70.19349197,358.878311,1.436509,148.0778772,100.833583,515.5319236
1,102.4991013,70.98304598,359.0427804,1.100536,112.803951,78.11939749,395.1395054
1,102.6177229,70.30761601,358.9611533,1.360348,139.5958141,95.64282482,488.312087
1,101.6503783,71.7508178,358.8151181,2.131947,216.713219,152.9689407,764.9748145
1,99.09846609,72.29052137,358.4419941,2.083278,206.4496542,150.6012528,746.7343206
1,96.7098192,73.09824496,357.7493859,2.110752,204.1304443,154.2922668,755.1202318
1,96.18525922,72.86370768,357.3678279,2.038236,196.048258,148.5134321,728.399972
1,99.60223632,71.17054905,357.9874249,2.622401,261.1970041,186.637719,938.786581
1,97.32661331,72.90529501,356.8482693,1.643093,159.916677,119.7901799,586.3348933
1,96.68093568,72.79810272,357.0554644,1.581753,152.92536,115.1486174,564.773552
1,95.14383749,73.53304746,356.5229718,1.390074,132.2569748,102.2163774,495.5933136
1,93.06886633,73.87884984,356.0774129,1.971131,183.4509276,145.6248912,701.875227
1,84.106662,158.5730024,37.83414445,2.454593,206.4476238,389.2321816,92.86742612
1,84.07376232,157.6436196,34.85913605,1.567046,131.747453,247.0348034,54.6258697
1,85.20849878,156.5142285,34.80742128,1.223591,104.2603522,191.5094014,42.59004741
1,83.47933695,155.8176567,33.73492415,1.037191,86.58401697,161.6126712,34.98955971
1,103.789972,150.2723159,47.47447522,0.9335409,96.89218391,140.285353,44.31936432
1,105.1380304,150.7783726,48.05156191,1.429361,150.2802002,215.5167254,68.68302858
1,109.8840665,152.686408,53.0297099,2.335823,256.6697298,356.6484237,123.8680161
1,112.2318699,150.7966117,53.32077292,2.08124,233.581457,313.8439402,110.9733254
1,110.8271466,152.2689554,53.55438872,0.8857061,98.16027981,134.8655426,47.43344877
1,111.7749926,152.9077536,54.24718324,1.007158,112.575078,154.0022673,54.63548458
1,96.97780051,44.93147856,5.500803079,0.7319013,70.97817826,32.88540757,4.026044924
1,96.99894422,44.85557526,4.289805098,0.7943136,77.04758058,35.62939346,3.407450531
1,96.30082178,44.52119735,4.921685171,0.6106912,58.81006441,27.18870343,3.005629823
1,96.45003179,44.0464938,4.832206178,0.489578,47.21981366,21.56419434,2.365741836
1,96.40362649,44.84839213,4.404899898,0.4914494,47.3775044,22.0407154,2.164785412
1,96.37338199,44.73756125,4.70986191,0.5411084,52.14844653,24.20787019,2.548545842
1,97.76616767,44.62459624,4.586316524,1.171645,114.5472415,52.28418506,5.373534824
1,100.0039443,44.43146937,4.615320731,2.146804,214.6888676,95.38565616,9.908189007
1,101.5704787,44.82925996,4.679275249,2.337529,237.4239394,104.7896952,10.93794159
1,103.3942095,44.81648975,4.507705501,2.669616,276.022836,119.6428181,12.03384273
1,78.02799078,145.5700917,1.959248341,1.010969,78.88387981,147.16685,1.980739336
1,77.24317342,145.1101962,2.152713811,0.8128622,62.78805589,117.9545933,1.749859684
1,76.61689225,145.1875757,2.76164957,0.9955388,76.27508897,144.5398649,2.749329299
1,76.93355637,145.034366,2.405376686,0.5470178,42.08402475,79.33637981,1.315783863
1,77.47733738,145.5521617,3.368889818,0.5731251,44.40420673,83.41959722,1.930795314
1,77.50381346,145.5787155,2.894315404,0.4825814,37.4018988,70.25358032,1.39674278
1,76.96652013,145.1853273,2.395567353,0.6265692,48.22485095,90.96865437,1.50098872
1,76.88603933,145.745626,2.095573318,0.8539165,65.6542576,124.4545949,1.789444633
1,79.23932028,145.7052925,2.853795957,0.956513,75.79343996,139.3690064,2.729692932
1,79.10642669,145.2463554,3.3180505,0.5701434,45.10200707,82.81125089,1.891764593
1,79.29028649,145.6009555,3.327869158,0.4406525,34.93946297,64.15942505,1.466433864
1,80.00490263,145.2690503,3.111405883,0.6298773,50.39327206,91.50167719,1.959803937
1,80.48127849,145.0327899,3.403158684,0.6648569,53.50853332,96.42605107,2.262613533
1,80.11058378,144.2610734,3.281749074,0.6342773,50.81232478,91.50152411,2.081538942
